hashtag,sentiment,university_name,published_at,likes,reply_count
#arc,Neutral,IIT Hyderabad,2025-07-22 15:18:09+00:00,0,0
#0d,Neutral,IIT Hyderabad,2025-07-22 15:18:09+00:00,0,0
#iit_hyderabad,Neutral,IIT Hyderabad,2025-03-05 18:52:32+00:00,4,2
#motionite,Positive,IIT Indore,2025-12-03 10:37:26+00:00,0,0
#motionite,Positive,IIT Guwahati,2026-02-11 12:23:51+00:00,72,0
#motionite,Positive,IIT Guwahati,2025-11-29 12:09:57+00:00,71,0
#joiaaiaxom,Positive,IIT Guwahati,2025-06-12 05:23:31+00:00,12,5
#motionite,Positive,IIT Hyderabad,2025-11-19 11:30:18+00:00,2,0
#saleemians,Neutral,NIT Trichy,2025-03-08 13:34:09+00:00,97,2
#jeeadvance2026phodnahai,Positive,IIT Roorkee,2026-05-12 07:41:55+00:00,1,0
#editor,Positive,Lovely Professional University,2026-06-05 13:06:47+00:00,0,0
#editor,Neutral,Lovely Professional University,2026-06-05 13:00:34+00:00,0,0
#motionite,Positive,NIT Jamshedpur,2026-06-04 08:05:32+00:00,34,0
#motion,Positive,NIT Jamshedpur,2026-06-04 08:05:32+00:00,34,0
#motionite,Positive,NIT Jamshedpur,2026-06-04 08:04:23+00:00,34,0
#justiceforprishashah,Neutral,KIIT University,2025-05-02 02:46:21+00:00,0,0
#motionite,Positive,IIT Guwahati,2025-09-24 12:04:13+00:00,265,4
#iit,Positive,IIT Guwahati,2025-09-03 06:36:27+00:00,1,0
#jee,Positive,IIT Guwahati,2025-09-03 06:36:27+00:00,1,0
#motionite,Positive,IIT Guwahati,2025-09-03 06:36:27+00:00,1,0
#nitk,Negative,NIT Surathkal,2026-03-04 02:58:33+00:00,0,0
#nitksurathkal,Negative,NIT Surathkal,2026-03-04 02:58:33+00:00,0,0
#nitsurathkal,Negative,NIT Surathkal,2026-03-04 02:58:33+00:00,0,0
#iit,Positive,IIT Gandhinagar,2025-12-01 11:40:12+00:00,2,1
#jee,Positive,IIT Gandhinagar,2025-12-01 11:40:12+00:00,2,1
#motionite,Positive,IIT Gandhinagar,2025-12-01 11:40:12+00:00,2,1
#let,Positive,SRM Institute of Science and Technology,2024-03-02 10:41:01+00:00,6,1
#hostel,Positive,SRM Institute of Science and Technology,2024-03-02 10:41:01+00:00,6,1
#fully,Positive,SRM Institute of Science and Technology,2024-03-02 10:41:01+00:00,6,1
#honestly,Positive,SRM Institute of Science and Technology,2024-03-02 10:41:01+00:00,6,1
#wifi,Positive,SRM Institute of Science and Technology,2024-03-02 10:41:01+00:00,6,1
#bus,Positive,SRM Institute of Science and Technology,2024-03-02 10:41:01+00:00,6,1
#we,Positive,SRM Institute of Science and Technology,2024-03-02 10:41:01+00:00,6,1
#placements,Positive,SRM Institute of Science and Technology,2024-03-02 10:41:01+00:00,6,1
#no,Positive,SRM Institute of Science and Technology,2024-03-02 10:41:01+00:00,6,1
#slippery,Positive,SRM Institute of Science and Technology,2024-03-02 10:41:01+00:00,6,1
#bee,Positive,SRM Institute of Science and Technology,2024-03-02 10:41:01+00:00,6,1
#motionite,Positive,IIT Patna,2025-11-12 08:23:26+00:00,47,0
#motionite,Positive,IIT Guwahati,2025-09-01 07:22:13+00:00,37,1
#arohan,Neutral,IIT Guwahati,2026-01-24 11:26:06+00:00,0,0
#neet,Negative,IIT Guwahati,2023-12-09 14:15:11+00:00,2,2
#gotia,Neutral,Galgotias University,2026-02-20 14:43:38+00:00,1,0
#iit,Neutral,IIT Roorkee,2026-01-27 17:28:22+00:00,1,0
#motionite,Positive,IIT Roorkee,2025-02-18 07:05:46+00:00,17,0
#iit,Positive,IIT Patna,2026-01-03 12:17:08+00:00,41,0
#jee,Positive,IIT Patna,2026-01-03 12:17:08+00:00,41,0
#motionite,Positive,IIT Patna,2026-01-03 12:17:08+00:00,41,0
#motionite,Neutral,IIT Patna,2025-11-12 08:25:56+00:00,10,0
#motionite,Positive,IIT Kanpur,2025-09-04 09:11:25+00:00,2,1
#motionite,Positive,IIT Indore,2025-12-03 12:21:44+00:00,1,0
