hashtag,Frequency,Avg_Likes,Avg_Replies,Popularity_Score
#motionite,54,25.574074074074073,0.2222222222222222,1381.0
#thankyoubharatpeople,1,230.0,6.0,230.0
#shimonsir,1,124.0,0.0,124.0
#iit,9,13.0,0.2222222222222222,117.0
#saleemians,1,97.0,2.0,97.0
#justiceforprakritii,2,41.5,0.0,83.0
#jee,7,10.857142857142858,0.2857142857142857,76.0
#justiceforarthi,1,63.0,11.0,63.0
#motion,2,29.5,0.0,59.0
#sushant_singh_rajput,1,56.0,0.0,56.0
#jnu,1,43.0,1.0,43.0
#jnv,1,43.0,1.0,43.0
#boringfamily,1,30.0,5.0,30.0
#justiceforprakiti,5,4.0,0.0,20.0
#jeemains,1,14.0,0.0,14.0
#vedantumath,1,14.0,0.0,14.0
#joiaaiaxom,1,12.0,5.0,12.0
#thankyoufromnepal,1,7.0,0.0,7.0
#honestly,1,6.0,1.0,6.0
#placements,1,6.0,1.0,6.0
#slippery,1,6.0,1.0,6.0
#let,1,6.0,1.0,6.0
#no,1,6.0,1.0,6.0
#wifi,1,6.0,1.0,6.0
#bus,1,6.0,1.0,6.0
#hostel,1,6.0,1.0,6.0
#fully,1,6.0,1.0,6.0
#bee,1,6.0,1.0,6.0
#we,1,6.0,1.0,6.0
#lovesfromnepal,1,5.0,0.0,5.0
#nit,3,1.6666666666666667,0.0,5.0
#closekiit,1,4.0,0.0,4.0
#iit_hyderabad,1,4.0,2.0,4.0
#akash,3,1.3333333333333333,0.0,4.0
#apnacollege,2,2.0,0.0,4.0
#lovely,1,3.0,0.0,3.0
#notice,1,3.0,2.0,3.0
#justiceofprakriti,1,2.0,0.0,2.0
#kiit,3,0.6666666666666666,0.0,2.0
#deshbhakt,5,0.4,0.0,2.0
#neet,1,2.0,2.0,2.0
#dtu,2,1.0,0.0,2.0
#boycottpuducheriuniversity,1,2.0,0.0,2.0
#lovefromnepal,1,2.0,0.0,2.0
#review,1,2.0,0.0,2.0
#justice_for_prakriti,6,0.3333333333333333,0.0,2.0
#lovelyproffesionalunversity,1,2.0,0.0,2.0
#investigate_kiit,1,2.0,0.0,2.0
#boycottindia,15,0.13333333333333333,0.0,2.0
#thedeshbhant,1,2.0,0.0,2.0
#politicalpuppet,1,2.0,0.0,2.0
#indianforeignerstudentmurderercampuskiit,1,2.0,0.0,2.0
#justiceforprakirti,4,0.25,0.0,1.0
#plz,1,1.0,0.0,1.0
#india__,1,1.0,0.0,1.0
#shameonkiituniversity,3,0.3333333333333333,0.0,1.0
#justiceforprakritididi,1,1.0,0.0,1.0
#shameonindianeducationsystem,1,1.0,0.0,1.0
#revokenaackiit,1,1.0,0.0,1.0
#justice4prakritilamsal,1,1.0,0.0,1.0
#gotia,1,1.0,0.0,1.0
#justicefornepalistudent,3,0.3333333333333333,0.0,1.0
#justiceforprakitilamsal,3,0.3333333333333333,0.0,1.0
#guwahatii,1,1.0,0.0,1.0
#haryana,1,1.0,0.0,1.0
