NGram,Frequency
nepali brother sister,47
sorry nepali brother,20
hostel mess fee,20
fall marketing flashy,18
fee zero support,18
money value career,18
paying mass recruiter,18
peace mind look,18
far city life,18
zero support underqualified,18
middle far city,18
expecting decent placement,18
job get placed,18
edible basic hygiene,18
placement claim hardly,18
placement turned worst,18
placed middle far,18
flashy website bhopal,18
depressing food hostel,18
mentorship placement claim,18
food hostel barely,18
mass recruiter job,18
forget practical knowledge,18
get placed middle,18
marketing flashy website,18
management care fee,18
low paying mass,18
hardly reputed company,18
life depressing food,18
hostel barely edible,18
