NGram,Frequency
raising voice,786
love nepal,507
first year,234
get admission,204
brother sister,200
lot love,191
hostel fee,185
girl hostel,183
get cse,183
home state,177
justice prakriti,175
computer science,165
direct admission,163
justice nepali,158
hostel room,154
cse core,152
data science,145
single room,136
obc ncl,135
coming soon,132
entrance exam,128
trichy trichy,127
cse branch,126
nepali brother,125
get seat,123
want know,118
respect nepal,118
nepali people,117
average package,116
general category,114
