NGram,Frequency
raising voice,711
love nepal,502
lot love,190
justice prakriti,162
justice nepali,140
respect nepal,118
brother sister,107
want know,105
get admission,102
first year,95
best luck,87
nepali people,84
placement good,83
good placement,83
voice lot,81
prakriti lamsal,78
computer science,77
want justice,76
get cse,73
get justice,72
huge respect,70
voice love,70
better option,69
get good,69
nepali girl,68
support nepali,68
entrance exam,65
great work,64
chance get,63
average package,63
