Hashtag,Frequency,University
#boycottindia,15,KIIT University
#boycottindians,14,KIIT University
#shame,6,KIIT University
#justice_for_prakriti,6,KIIT University
#thedeshbhakt,5,KIIT University
#deshbhakt,5,KIIT University
#justiceforprakiti,5,KIIT University
#justiceforprakirti,4,KIIT University
#justiceforprakriti,4,KIIT University
#prakriti,3,KIIT University
#shameonindia,3,KIIT University
#justicefornepalistudent,3,KIIT University
#justicefornepaligirl,3,KIIT University
#justiceforprakitilamsal,3,KIIT University
#shameonkiituniversity,3,KIIT University
#motionite,8,IIT Guwahati
#arohan,1,IIT Guwahati
#iit,1,IIT Guwahati
#jee,1,IIT Guwahati
#joiaaiaxom,1,IIT Guwahati
#motion,1,IIT Guwahati
#neet,1,IIT Guwahati
#motionite,8,IIT Patna
#iit,2,IIT Patna
#jee,2,IIT Patna
#bee,1,SRM Institute of Science and Technology
#bus,1,SRM Institute of Science and Technology
#fully,1,SRM Institute of Science and Technology
#honestly,1,SRM Institute of Science and Technology
#hostel,1,SRM Institute of Science and Technology
#let,1,SRM Institute of Science and Technology
#no,1,SRM Institute of Science and Technology
#placements,1,SRM Institute of Science and Technology
#slippery,1,SRM Institute of Science and Technology
#we,1,SRM Institute of Science and Technology
#wifi,1,SRM Institute of Science and Technology
#motionite,3,IIT Roorkee
#colleges,1,IIT Roorkee
#educational_institutions,1,IIT Roorkee
#iit,1,IIT Roorkee
#iits,1,IIT Roorkee
#jeeadvance2026phodnahai,1,IIT Roorkee
#nits,1,IIT Roorkee
#universities,1,IIT Roorkee
