published_at,Average_Likes,Total_Likes
2023-01,2.406779661016949,142
2023-02,3.083827265029636,10926
2023-03,5.423013698630137,9897
2023-04,3.274011299435028,3477
2023-05,2.6935166994106092,2742
2023-06,1.9397697077059344,2190
2023-07,2.618848167539267,5002
2023-08,6.756410256410256,7378
2023-09,7.818095238095238,8209
2023-10,5.566546762589928,3095
2023-11,6.5174825174825175,1864
2023-12,3.5532359081419624,1702
2024-01,30.15648854961832,23703
2024-02,2.61438679245283,2217
2024-03,4.445571955719557,4819
2024-04,3.5242320819112627,5163
2024-05,2.642951833848873,5981
2024-06,1.5235849056603774,3553
2024-07,2.172286031863653,5863
2024-08,1.9148830263812842,3847
2024-09,1.1750219876868953,1336
2024-10,1.8261851015801354,809
2024-11,1.6708860759493671,660
2024-12,8.208023774145616,5524
2025-01,2.7352112676056337,1942
2025-02,5.439380176329148,101798
2025-03,2.8039922373163293,10114
2025-04,2.481761565836299,5579
2025-05,2.3001169590643276,9833
2025-06,1.5216582064297801,8993
2025-07,1.833190761334474,10715
2025-08,1.3825657894736842,4203
2025-09,2.747496423462089,3841
2025-10,3.2936507936507935,4150
2025-11,2.873065015479876,2784
2025-12,2.884080370942813,3732
2026-01,1.3535220539828834,2056
2026-02,3.671013039117352,7320
2026-03,0.8730991085474568,1665
2026-04,0.8448844884488449,2560
2026-05,0.8032930845225027,3659
2026-06,0.5256380777190158,2286
2026-07,0.15666666666666668,47
