published_at,Average_Replies,Total_Replies
2023-01,6.0,102
2023-02,2.519083969465649,330
2023-03,3.8768115942028984,535
2023-04,3.5503355704697985,529
2023-05,3.345945945945946,619
2023-06,3.3145539906103285,706
2023-07,4.253731343283582,1425
2023-08,2.975609756097561,610
2023-09,2.9285714285714284,656
2023-10,3.382978723404255,318
2023-11,3.911111111111111,176
2023-12,2.1666666666666665,182
2024-01,3.36046511627907,578
2024-02,3.051851851851852,412
2024-03,3.0049261083743843,610
2024-04,2.749295774647887,976
2024-05,2.5221774193548385,1251
2024-06,2.822649572649573,1321
2024-07,2.7587412587412588,1578
2024-08,2.211586901763224,878
2024-09,2.118279569892473,394
2024-10,2.011764705882353,171
2024-11,1.8888888888888888,153
2024-12,2.3157894736842106,396
2025-01,2.251700680272109,331
2025-02,4.320813771517997,2761
2025-03,2.1099585062240664,2034
2025-04,2.4245689655172415,1125
2025-05,2.8123138033763655,2832
2025-06,2.2892057026476578,3372
2025-07,2.0721153846153846,3017
2025-08,1.6898395721925135,1264
2025-09,2.1937716262975777,634
2025-10,1.9166666666666667,575
2025-11,2.122905027932961,380
2025-12,1.7327586206896552,402
2026-01,1.7295373665480427,486
2026-02,2.01131221719457,889
2026-03,2.126027397260274,776
2026-04,2.1828125,1397
2026-05,2.049145299145299,1918
2026-06,1.9066666666666667,1430
2026-07,1.6785714285714286,47
