university_name,Total_Comments,Average_Likes,Average_Replies,Negative_Percentage,Neutral_Percentage,Positive_Percentage
BITS Pilani,1939,5.15,0.21,4.44,66.12,29.45
Delhi University,2104,2.23,0.45,6.27,57.7,36.03
Galgotias University,3073,1.22,0.59,7.71,61.18,31.11
IIT Bombay,4395,9.42,0.22,6.1,67.6,26.3
IIT Hyderabad,1425,3.49,0.48,5.54,60.28,34.18
IIT Madras,3397,4.86,0.29,4.56,67.65,27.79
KIIT University,19474,5.19,0.16,25.21,35.67,39.12
LNCT Bhopal,1521,0.69,0.58,7.43,64.5,28.07
Lovely Professional University,2915,1.76,0.46,7.2,61.44,31.36
NIT Jaipur,1611,1.28,0.33,4.41,60.83,34.76
NIT Silchar,1738,1.8,0.58,6.16,56.16,37.69
NIT Trichy,2830,2.57,0.4,4.73,64.13,31.13
NIT Warangal,2214,6.33,0.28,10.61,60.43,28.95
Pondicherry University,1489,0.82,0.61,12.96,55.74,31.3
VIT Bhopal University,1538,0.8,0.7,9.49,57.48,33.03
