Community,Keyword
1,action
1,actually
1,bad
1,big
1,bjp
1,brother
1,called
1,case
1,come
1,country
1,day
1,feel
1,free
1,friend
1,going
1,government
1,govt
1,hindu
1,hope
1,incident
1,india
1,indian
1,issue
1,justice
1,level
1,look
1,lot
1,love
1,matter
1,mean
1,medium
1,modi
1,nepal
1,nepalese
1,nepali
1,news
1,odisha
1,parent
1,part
1,people
1,person
1,problem
1,respect
1,right
1,say
1,shame
1,show
1,sorry
1,state
1,study
1,support
1,system
1,thing
1,think
1,true
1,type
1,voice
1,way
1,world
2,admission
2,best
2,better
2,bhopal
2,bit
2,branch
2,category
2,chahiye
2,chance
2,change
2,choose
2,clg
2,collage
2,company
2,cse
2,ece
2,future
2,general
2,get
2,getting
2,good
2,got
2,hello
2,help
2,idea
2,jaipur
2,jayega
2,job
2,kaisa
2,mark
2,mechanical
2,milega
2,mujhe
2,option
2,package
2,patna
2,percentile
2,placement
2,private
2,question
2,rank
2,rha
2,rhi
2,sakta
2,scholarship
2,score
2,seat
2,tech
2,tell
2,top
2,try
2,worth
2,में
3,abhi
3,aisa
3,aise
3,apne
3,apply
3,baad
3,baat
3,baki
3,bare
3,bata
3,desh
3,din
3,english
3,exam
3,form
3,give
3,gya
3,hota
3,hote
3,hoti
3,iss
3,itna
3,jab
3,jyada
3,karne
3,khud
3,log
3,maine
3,mei
3,naam
3,number
3,online
3,paisa
3,pas
3,pata
3,rhe
3,saal
3,sakte
3,sath
3,tak
3,use
3,wala
3,wale
4,available
4,boy
4,class
4,coming
4,cutoff
4,fee
4,first
4,food
4,girl
4,hostel
4,kitna
4,lakh
4,mess
4,money
4,month
4,name
4,new
4,room
4,start
4,time
4,year
5,bombay
5,btw
5,delhi
5,dream
5,great
5,guy
5,information
5,life
5,management
5,nice
5,place
5,political
5,research
5,science
5,technology
5,work
6,check
6,detail
6,etc
6,full
6,join
6,know
6,sure
6,want
