Year_Month,Negative,Neutral,Positive
2023-01,1,21,2
2023-02,36,2532,900
2023-03,27,825,362
2023-04,30,323,202
2023-05,64,380,232
2023-06,63,499,332
2023-07,57,718,319
2023-08,26,353,162
2023-09,54,377,209
2023-10,29,220,118
2023-11,10,112,45
2023-12,23,173,67
2024-01,20,262,155
2024-02,30,318,195
2024-03,57,498,232
2024-04,84,632,393
2024-05,161,1037,556
2024-06,144,1058,626
2024-07,120,1093,562
2024-08,110,1031,431
2024-09,63,489,238
2024-10,24,207,98
2024-11,25,176,100
2024-12,36,285,206
2025-01,47,291,165
2025-02,94,392,328
2025-03,137,1679,897
2025-04,116,823,531
2025-05,214,1405,882
2025-06,328,2416,1337
2025-07,275,2147,1084
2025-08,150,1327,716
2025-09,90,537,316
2025-10,46,565,279
2025-11,32,391,209
2025-12,44,496,251
2026-01,75,554,293
2026-02,95,774,440
2026-03,86,753,394
2026-04,140,1084,633
2026-05,229,1599,1047
2026-06,254,1603,1084
2026-07,16,96,59
