published_at,Comments,Month,Rolling_Average,Time,Trend
2023-01-31 00:00:00+00:00,24,Jan-2023,24.0,0,738.8625792811841
2023-02-28 00:00:00+00:00,3468,Feb-2023,1746.0,1,763.4793113862884
2023-03-31 00:00:00+00:00,1214,Mar-2023,1568.6666666666667,2,788.0960434913925
2023-04-30 00:00:00+00:00,555,Apr-2023,1745.6666666666667,3,812.7127755964967
2023-05-31 00:00:00+00:00,676,May-2023,815.0,4,837.329507701601
2023-06-30 00:00:00+00:00,894,Jun-2023,708.3333333333334,5,861.9462398067051
2023-07-31 00:00:00+00:00,1094,Jul-2023,888.0,6,886.5629719118093
2023-08-31 00:00:00+00:00,541,Aug-2023,843.0,7,911.1797040169135
2023-09-30 00:00:00+00:00,640,Sep-2023,758.3333333333334,8,935.7964361220177
2023-10-31 00:00:00+00:00,367,Oct-2023,516.0,9,960.4131682271218
2023-11-30 00:00:00+00:00,167,Nov-2023,391.3333333333333,10,985.029900332226
2023-12-31 00:00:00+00:00,263,Dec-2023,265.6666666666667,11,1009.6466324373303
2024-01-31 00:00:00+00:00,437,Jan-2024,289.0,12,1034.2633645424344
2024-02-29 00:00:00+00:00,543,Feb-2024,414.3333333333333,13,1058.8800966475387
2024-03-31 00:00:00+00:00,787,Mar-2024,589.0,14,1083.4968287526428
2024-04-30 00:00:00+00:00,1109,Apr-2024,813.0,15,1108.113560857747
2024-05-31 00:00:00+00:00,1754,May-2024,1216.6666666666667,16,1132.7302929628513
2024-06-30 00:00:00+00:00,1828,Jun-2024,1563.6666666666667,17,1157.3470250679554
2024-07-31 00:00:00+00:00,1775,Jul-2024,1785.6666666666667,18,1181.9637571730595
2024-08-31 00:00:00+00:00,1572,Aug-2024,1725.0,19,1206.580489278164
2024-09-30 00:00:00+00:00,790,Sep-2024,1379.0,20,1231.197221383268
2024-10-31 00:00:00+00:00,329,Oct-2024,897.0,21,1255.8139534883721
2024-11-30 00:00:00+00:00,301,Nov-2024,473.3333333333333,22,1280.4306855934765
2024-12-31 00:00:00+00:00,527,Dec-2024,385.6666666666667,23,1305.0474176985804
2025-01-31 00:00:00+00:00,503,Jan-2025,443.6666666666667,24,1329.6641498036847
2025-02-28 00:00:00+00:00,814,Feb-2025,614.6666666666666,25,1354.280881908789
2025-03-31 00:00:00+00:00,2713,Mar-2025,1343.3333333333333,26,1378.897614013893
2025-04-30 00:00:00+00:00,1470,Apr-2025,1665.6666666666667,27,1403.5143461189973
2025-05-31 00:00:00+00:00,2501,May-2025,2228.0,28,1428.1310782241017
2025-06-30 00:00:00+00:00,4081,Jun-2025,2684.0,29,1452.7478103292055
2025-07-31 00:00:00+00:00,3506,Jul-2025,3362.6666666666665,30,1477.36454243431
2025-08-31 00:00:00+00:00,2193,Aug-2025,3260.0,31,1501.981274539414
2025-09-30 00:00:00+00:00,943,Sep-2025,2214.0,32,1526.5980066445181
2025-10-31 00:00:00+00:00,890,Oct-2025,1342.0,33,1551.2147387496225
2025-11-30 00:00:00+00:00,632,Nov-2025,821.6666666666666,34,1575.8314708547266
2025-12-31 00:00:00+00:00,791,Dec-2025,771.0,35,1600.4482029598307
2026-01-31 00:00:00+00:00,922,Jan-2026,781.6666666666666,36,1625.064935064935
2026-02-28 00:00:00+00:00,1309,Feb-2026,1007.3333333333334,37,1649.6816671700392
2026-03-31 00:00:00+00:00,1233,Mar-2026,1154.6666666666667,38,1674.2983992751433
2026-04-30 00:00:00+00:00,1857,Apr-2026,1466.3333333333333,39,1698.9151313802477
2026-05-31 00:00:00+00:00,2875,May-2026,1988.3333333333333,40,1723.5318634853518
2026-06-30 00:00:00+00:00,2941,Jun-2026,2557.6666666666665,41,1748.148595590456
2026-07-31 00:00:00+00:00,171,Jul-2026,1995.6666666666667,42,1772.7653276955602
