Year_Month,BITS Pilani,IIT Bombay,IIT Madras,Lovely Professional University,NIT Trichy
2023-02,834,754,700,0,568
2023-03,283,99,52,76,43
2023-04,81,47,18,243,46
2023-05,106,42,20,118,24
2023-06,94,57,38,68,19
2023-07,30,33,32,29,22
2023-08,12,33,34,20,19
2023-09,14,49,23,25,34
2023-10,12,41,30,9,27
2023-11,26,26,9,11,9
2023-12,14,21,17,15,11
2024-01,15,88,21,7,13
2024-02,8,246,20,12,23
2024-03,15,120,214,42,13
2024-04,32,114,33,14,5
2024-05,44,214,43,27,24
2024-06,35,242,22,101,17
2024-07,24,103,24,50,150
2024-08,15,103,28,23,22
2024-09,16,70,20,6,9
2024-10,7,57,8,9,9
2024-11,1,38,8,13,9
2024-12,6,18,39,31,3
2025-01,14,30,37,21,4
2025-02,15,29,36,59,12
2025-03,5,45,34,78,658
2025-04,18,71,46,87,48
2025-05,14,46,231,140,40
2025-06,11,70,87,104,55
2025-07,8,60,45,112,47
2025-08,2,32,25,38,12
2025-09,5,32,80,13,59
2025-10,3,38,333,17,15
2025-11,7,18,95,36,17
2025-12,11,22,75,29,14
2026-01,10,26,61,27,36
2026-02,4,212,18,37,173
2026-03,19,43,19,65,44
2026-04,10,43,49,64,35
2026-05,7,44,136,91,43
2026-06,4,79,69,41,58
2026-07,0,3,2,2,3
