university_name,count
KIIT University,19474
IIT Bombay,4395
IIT Madras,3397
Galgotias University,3073
Lovely Professional University,2915
NIT Trichy,2830
NIT Warangal,2214
Delhi University,2104
BITS Pilani,1939
NIT Silchar,1738
NIT Jaipur,1611
VIT Bhopal University,1538
LNCT Bhopal,1521
Pondicherry University,1489
IIT Hyderabad,1425
NIT Jamshedpur,1400
Manipal University Jaipur,1382
North Eastern Hill University,1332
Bennett University,1306
SRM Institute of Science and Technology,1250
SASTRA Deemed University,1194
IIIT Allahabad,1180
VIT Vellore,1179
NIT Raipur,1120
Banaras Hindu University,1117
NIT Patna,1074
University of Allahabad,1061
IIT Roorkee,1050
IIT Delhi,1005
IIIT Kottayam,896
JECRC University,885
Amity University,858
IIT Jodhpur,825
Symbiosis International University,808
NIT Kurukshetra,805
IIIT Bhopal,799
IIIT Lucknow,781
SAGE University Indore,776
Nirma University,772
Jamia Millia Islamia,750
IIT Guwahati,740
NIT Allahabad,725
Jawaharlal Nehru University,717
IIT Patna,712
NIT Hamirpur,704
IIT (BHU) Varanasi,694
IIT Indore,672
Christ University,672
Aligarh Muslim University,660
IIT Gandhinagar,649
IIIT Hyderabad,635
University of Hyderabad,633
Banasthali Vidyapith,595
Chandigarh University,565
People's University Bhopal,553
NIT Calicut,536
Sharda University,519
Poornima University,503
NIT Nagaland,496
IIIT Bangalore,455
IIT Mandi,451
IIIT Delhi,418
Dhirubhai Ambani Institute of Information and Communication Technology,416
NIT Meghalaya,412
NIT Durgapur,402
IIIT Gwalior,399
IIT Kharagpur,395
IIIT Guwahati,366
IIT Bhubaneswar,364
IIIT Jabalpur,348
IIT Kanpur,335
RV University,328
IIIT Naya Raipur,313
NIT Bhopal,311
IIIT Kancheepuram,307
NIT Arunachal Pradesh,300
PES University,291
Ganpat University,255
IIT Ropar,176
SAGE University Bhopal,148
NIT Rourkela,115
Pandit Deendayal Energy University,106
NIT Surathkal,98
Oriental Institute of Science and Technology Bhopal,89
Ashoka University,59
ITM University Raipur,48
Mansarovar Global University Bhopal,25
Manipal Academy of Higher Education,22
Thapar Institute of Engineering and Technology,19
Kalinga University Raipur,17
Charotar University of Science and Technology,14
Rabindranath Tagore University Bhopal,14
O.P. Jindal Global University,4
