Word,Frequency
bombay,107
best,99
dream,92
good,60
love,47
get,45
want,43
year,42
nhi,40
life,39
hostel,32
food,31
people,31
study,30
nice,29
india,28
tell,27
top,26
time,25
cute,24
iits,24
security,24
delhi,23
god,22
hota,22
girl,21
detail,21
give,20
khana,20
festival,20
toh,20
work,19
wow,19
come,18
know,18
enjoy,18
thing,18
cyber,18
placement,17
indian,17
motivation,17
mujhe,17
great,17
mumbai,16
exam,16
better,16
right,16
happy,16
look,14
culture,14
advanced,14
haryana,14
think,14
beautiful,13
true,13
place,13
yeah,13
dont,13
proud,13
start,13
guy,13
lucky,12
etc,12
kharagpur,12
show,12
got,12
coming,12
jyada,11
tax,11
pongal,11
super,11
luck,11
mark,11
aspirant,11
south,11
clear,11
friend,11
special,11
job,10
hard,10
sure,10
help,10
free,10
first,10
abhi,10
money,10
hope,10
country,10
city,10
congratulation,9
getting,9
din,9
mean,9
eating,9
bless,9
apne,9
focus,9
class,9
going,9
board,9
