Word,Frequency
madras,182
year,90
bombay,80
nice,78
best,68
get,66
dance,58
kanpur,54
good,53
dream,53
delhi,52
hostel,52
science,49
india,48
exam,45
chennai,42
nhi,42
anna,41
placement,39
online,38
fee,37
package,36
branch,36
technology,35
join,33
want,33
kharagpur,33
lpa,31
guwahati,30
study,30
medical,30
time,29
data,29
lakh,29
come,28
trichy,28
give,28
job,28
know,28
got,27
people,26
mein,25
podunga,24
tech,24
pune,24
level,24
tell,24
ponga,24
iits,24
work,23
beautiful,23
top,23
boy,23
hobby,23
government,23
help,22
thnks,22
coming,22
world,22
life,21
research,21
vanga,21
indian,20
bhopal,20
bangalore,20
love,20
diploma,19
coimbatore,19
hard,19
roorkee,19
clg,19
tamil,19
information,19
pas,19
rank,19
aim,19
bit,19
soon,18
free,18
program,18
day,18
oru,17
first,17
hyderabad,17
girl,17
clear,17
new,17
collage,17
name,17
better,17
caste,17
wale,17
question,17
offer,16
aiims,16
try,16
future,16
advanced,16
anga,16
toh,16
