Word,Frequency
india,1412
indian,1071
country,712
shame,667
people,646
nepal,582
nepali,534
bjp,404
odisha,335
sorry,321
case,309
government,266
nepalese,247
action,244
incident,235
girl,233
ashamed,231
hate,224
justice,200
suicide,198
issue,197
bad,195
thing,192
shameful,189
sad,180
get,178
know,176
state,176
brother,164
log,164
day,162
feel,161
think,156
year,153
time,152
nhi,150
guy,149
desh,144
voice,136
happened,135
racism,135
toh,131
medium,131
say,128
come,127
life,126
safe,124
govt,123
news,123
politician,123
sister,122
wrong,121
problem,119
racist,119
crime,117
political,116
right,115
chahiye,113
relationship,112
want,111
good,111
world,110
modi,108
worst,108
protest,108
nation,107
matter,107
ban,104
criminal,104
boy,102
name,102
administration,102
way,102
going,101
system,100
mein,98
police,96
ladki,94
murder,93
woman,93
power,92
first,91
poor,88
bangladesh,88
study,87
leader,87
called,86
parent,86
hota,86
victim,85
hindu,84
support,83
stop,81
rape,81
culprit,79
happen,79
kind,79
taken,77
situation,77
authority,75
