Word,Frequency
nepal,1639
justice,1130
india,1116
voice,1022
love,930
nepali,926
indian,887
raising,834
people,692
support,507
country,498
respect,452
good,371
brother,350
lot,347
nepalese,312
girl,283
bjp,281
issue,281
case,252
sister,248
odisha,234
prakriti,229
government,218
want,205
action,199
get,196
great,183
time,183
thing,180
bangladesh,180
truth,180
incident,179
hope,175
deshbhakt,174
free,168
know,157
desh,149
supporting,146
true,140
news,138
matter,137
right,136
party,132
medium,127
state,125
friend,124
think,124
day,123
china,122
come,120
say,120
stand,116
toh,115
baat,114
year,113
better,109
modi,109
shame,109
give,106
nhi,105
sorry,103
making,103
best,103
log,103
political,102
study,101
lamsal,99
akash,98
big,98
huge,98
govt,96
guy,93
god,92
safe,90
show,89
kind,89
raise,87
hindu,87
life,87
way,87
salute,86
happened,85
feel,85
help,83
real,82
power,79
appreciate,78
human,78
pakistan,77
proud,77
first,77
nice,76
got,76
work,75
speaking,75
covering,74
job,74
politician,73
person,73
