Word,Frequency
good,81
placement,62
admission,53
fee,49
cse,48
join,45
best,37
want,34
nice,34
hostel,34
tell,33
exam,29
help,27
give,27
toh,25
kaisa,25
better,24
scholarship,23
great,22
year,22
information,20
matlab,19
get,18
mujhe,17
akka,16
chahiye,16
nhi,16
opportunity,15
free,15
number,15
form,14
worth,14
food,14
know,14
hota,14
mark,13
top,13
btw,13
private,13
india,13
check,13
contact,12
reality,12
safe,12
rahega,12
charge,11
class,11
package,11
amazing,11
dijiye,11
specially,10
series,10
got,10
session,10
research,10
hidden,10
mein,10
comedk,10
safety,10
average,10
online,10
bana,9
gardi,9
gunda,9
block,9
giri,9
honour,9
professional,9
punjab,9
clear,9
padhai,9
support,9
mean,9
sure,9
suggest,9
available,9
lpunest,9
chapri,9
life,8
importantly,8
hisab,8
pasand,8
percentile,8
akdam,8
alcohol,8
hope,8
iat,8
situation,8
branch,8
honest,8
entrance,8
theprajwalkamboj,8
discount,8
vah,8
counselling,8
skill,8
detail,8
tech,7
plus,7
baat,7
