Word,Frequency
india,1491
indian,1137
people,763
country,734
shame,691
nepal,585
hostel,561
nepali,534
nhi,528
mess,510
year,502
placement,501
get,477
fee,444
sorry,419
bjp,408
bad,397
time,350
problem,349
admission,343
case,339
odisha,339
good,330
toh,321
girl,318
worst,312
government,297
know,295
thing,261
action,260
life,259
day,257
hate,253
mein,251
nepalese,247
think,242
incident,241
log,233
issue,232
ashamed,231
hota,227
want,225
food,224
cse,224
state,224
suicide,214
sad,212
feel,200
justice,200
guy,199
come,196
got,194
say,191
ban,190
brother,190
shameful,190
wrong,185
study,185
mujhe,183
rha,174
first,174
doubt,170
branch,170
chahiye,166
fake,159
right,157
boy,156
money,155
poor,152
desh,151
drop,150
management,149
medium,148
block,148
govt,148
pay,146
happened,145
voice,145
low,144
bekar,143
cut,142
name,141
way,141
give,141
racism,140
news,140
room,139
hard,138
class,136
world,136
job,136
safe,136
going,135
matter,134
lakh,134
sister,132
parent,130
tell,128
system,126
political,125
