Word,Frequency
nhi,1788
cse,1629
admission,1579
hostel,1427
year,1378
placement,1109
fee,986
get,959
branch,941
rank,901
mein,823
toh,795
india,783
mujhe,704
hota,681
got,639
kaisa,621
rha,620
ece,563
delhi,551
chahiye,546
bhopal,530
category,510
soon,498
room,472
indian,470
coming,451
percentile,433
bombay,425
class,411
bjp,408
nepal,397
jayega,393
abhi,391
science,386
trichy,384
lakh,383
log,380
kitna,377
girl,376
exam,374
mark,362
jaipur,356
patna,352
में,340
time,336
milega,323
first,318
obc,317
baat,312
desh,302
state,299
seat,298
rhe,285
new,280
hoti,277
package,275
know,275
sakte,274
gya,269
allahabad,269
mechanical,265
technology,263
day,262
brother,259
sakta,254
lnct,254
tell,253
clg,248
tech,245
hello,242
nepali,239
kitne,238
lpa,235
tak,232
नहीं,231
boy,228
cutoff,228
bit,227
wale,227
general,225
kanpur,224
hyderabad,222
pune,221
available,220
civil,220
bba,219
pata,218
scholarship,215
start,214
apne,212
study,212
wala,212
saal,212
addmission,209
odisha,208
baad,208
thankyou,207
sath,206
check,205
