university_name,1,2,3,4,5,6,7,8,9,10
Aligarh Muslim University,15,124,39,17,42,57,40,46,5,129
Amity University,8,49,27,10,12,41,47,40,2,56
Ashoka University,0,7,6,2,9,2,16,2,1,14
BITS Pilani,24,162,144,82,59,54,712,65,36,553
Banaras Hindu University,37,122,62,54,49,57,265,33,8,367
Banasthali Vidyapith,18,21,8,5,22,11,36,27,1,68
Bennett University,64,142,42,18,39,109,110,74,10,255
Chandigarh University,10,82,31,13,29,30,67,33,1,120
Charotar University of Science and Technology,0,1,1,0,0,0,4,1,0,7
Christ University,36,161,37,12,36,53,56,70,2,95
Delhi University,16,114,36,27,33,56,142,75,8,153
Dhirubhai Ambani Institute of Information and Communication Technology,10,70,9,3,13,52,9,15,0,43
Galgotias University,84,257,53,39,92,198,221,146,18,390
Ganpat University,14,44,3,3,13,32,15,21,4,54
IIIT Allahabad,11,133,94,48,55,29,350,55,14,367
IIIT Bangalore,18,54,20,12,52,44,42,50,1,80
IIIT Bhopal,26,88,53,33,31,58,139,46,7,178
IIIT Delhi,62,52,11,9,32,38,59,36,2,102
IIIT Guwahati,6,47,11,6,17,14,33,21,1,65
IIIT Gwalior,15,99,13,12,12,34,40,28,1,75
IIIT Hyderabad,7,54,8,4,14,16,42,23,4,72
IIIT Jabalpur,7,47,13,3,10,15,26,20,3,39
IIIT Kancheepuram,15,15,5,1,8,22,15,4,0,24
IIIT Kottayam,54,146,60,27,55,68,163,67,6,245
IIIT Lucknow,19,71,32,19,37,59,111,109,4,141
IIIT Naya Raipur,7,18,13,2,10,6,21,16,1,42
IIT (BHU) Varanasi,19,84,23,21,43,52,48,27,3,128
IIT Bhubaneswar,10,38,21,10,23,20,69,14,3,84
IIT Bombay,118,631,161,99,218,302,755,167,27,1080
IIT Delhi,17,96,29,20,39,34,76,31,63,113
IIT Gandhinagar,29,51,16,10,20,27,77,49,4,135
IIT Guwahati,35,134,21,16,54,81,61,63,4,141
IIT Hyderabad,67,230,52,35,109,134,200,126,13,324
IIT Indore,11,81,18,5,44,66,44,33,3,106
IIT Jodhpur,22,75,16,15,19,43,59,30,2,105
IIT Kanpur,8,90,10,10,37,24,24,21,1,55
IIT Kharagpur,5,46,19,8,16,67,52,23,1,75
IIT Madras,60,358,169,116,146,176,765,179,39,923
IIT Mandi,3,33,7,8,8,15,37,21,1,60
IIT Patna,9,75,21,17,36,26,95,24,6,114
IIT Roorkee,40,77,27,7,36,41,91,37,5,107
IIT Ropar,9,41,7,4,10,10,12,5,4,27
JECRC University,43,103,16,12,40,65,76,54,3,203
Jamia Millia Islamia,10,159,24,7,24,72,26,38,2,56
Jawaharlal Nehru University,29,123,24,27,51,38,84,30,9,127
KIIT University,54,211,51,32,115,160,179,174,9,344
Kalinga University Raipur,1,2,0,0,0,1,2,1,0,10
LNCT Bhopal,30,172,49,17,84,101,112,51,7,170
Lovely Professional University,77,327,110,65,102,129,501,135,14,550
Manipal University Jaipur,33,159,34,22,47,109,74,63,9,138
Mansarovar Global University Bhopal,12,2,0,0,3,1,1,1,0,5
NIT Allahabad,46,98,19,9,32,89,76,25,2,181
NIT Arunachal Pradesh,9,61,11,14,22,38,36,21,2,65
NIT Bhopal,3,21,6,1,10,8,6,12,0,26
NIT Calicut,20,57,13,8,29,42,48,24,3,121
NIT Durgapur,9,11,1,3,5,14,9,8,0,23
NIT Hamirpur,11,105,19,32,29,48,80,50,10,112
NIT Jaipur,29,139,21,15,56,164,70,71,2,209
NIT Jamshedpur,64,192,43,32,91,151,144,91,9,299
NIT Kurukshetra,15,137,18,21,52,66,71,40,6,145
NIT Meghalaya,11,47,14,7,16,29,42,28,4,92
NIT Nagaland,16,83,21,14,32,30,62,30,2,92
NIT Patna,11,40,17,7,20,15,53,27,3,60
NIT Raipur,87,187,37,37,112,132,156,88,12,239
NIT Rourkela,2,4,2,2,8,2,17,0,0,17
NIT Silchar,37,319,108,45,90,76,276,62,12,359
NIT Surathkal,4,21,1,1,5,3,15,2,4,23
NIT Trichy,96,442,136,65,165,201,478,100,18,791
NIT Warangal,41,194,93,76,54,88,393,81,22,374
Nirma University,33,95,25,18,62,61,124,80,9,230
North Eastern Hill University,83,177,42,22,42,120,132,64,8,241
O.P. Jindal Global University,0,1,0,0,0,0,0,1,0,0
PES University,12,80,19,5,18,18,38,19,8,56
Pandit Deendayal Energy University,2,6,5,2,6,4,36,5,2,38
People's University Bhopal,28,92,29,14,31,48,129,54,12,116
Pondicherry University,28,223,88,60,77,99,258,103,12,385
Poornima University,22,160,15,11,17,87,36,33,0,83
RV University,15,66,16,7,22,28,37,24,3,62
SAGE University Bhopal,18,20,9,1,8,24,22,13,1,29
SAGE University Indore,42,128,27,18,46,55,85,62,5,178
SASTRA Deemed University,33,134,26,12,44,88,63,67,1,182
SRM Institute of Science and Technology,26,149,32,19,32,72,42,99,7,124
Sharda University,22,58,12,9,23,50,56,31,2,92
Symbiosis International University,15,43,12,3,29,57,17,24,1,59
Thapar Institute of Engineering and Technology,0,2,0,0,0,0,1,0,0,0
University of Allahabad,69,159,29,21,69,98,111,65,4,224
University of Hyderabad,28,193,45,7,28,95,56,38,3,130
VIT Bhopal University,12,56,16,7,17,41,46,19,3,89
VIT Vellore,10,35,15,5,26,17,46,14,5,43
