Word,Frequency
admission,38
block,23
good,21
placement,16
worst,13
year,12
bekar,12
mujhe,10
cancel,10
cse,9
shame,9
galgotia,9
nhi,8
fee,8
bad,8
fake,8
rha,7
fraud,7
gir,7
get,7
bba,7
maine,7
india,7
summit,6
want,6
got,6
dear,6
option,6
yha,6
pracheeverma,6
low,6
global,5
pay,5
fail,5
baat,5
study,5
toh,5
time,5
tech,5
provide,5
say,5
clg,5
waste,5
sure,5
sorry,4
dusre,4
kia,4
lakh,4
image,4
offline,4
hostel,4
konse,4
mean,4
bcom,4
scam,4
gye,4
indian,4
look,4
addmission,4
confused,4
hota,4
ece,4
future,3
side,3
budget,3
place,3
dance,3
dont,3
choice,3
seat,3
doubt,3
jayega,3
month,3
axe,3
reality,3
galgotiya,3
support,3
regret,3
tumne,3
real,3
taken,3
abhi,3
protest,3
bmrit,3
management,3
walo,3
padega,3
kitna,3
ghatiya,3
dediye,3
subject,3
charge,3
konsa,3
hons,3
worth,3
going,3
think,3
call,3
class,3
innovation,3
