Word,Frequency
admission,381
nhi,209
galgotia,153
good,141
placement,141
cse,128
kaisa,127
mujhe,103
fee,92
best,85
mein,76
bpt,74
year,71
pracheeverma,69
bba,65
addmission,61
noida,61
toh,58
gcet,56
rha,55
bajaj,52
better,50
abhi,49
maine,48
direct,47
tell,46
class,45
dear,43
suggest,43
chahiye,43
jayega,41
get,40
thankyou,40
clg,39
tech,37
lakh,37
hota,36
want,35
help,35
galgotiya,34
lia,34
rhe,32
pcm,31
option,31
rank,31
bta,30
kitna,30
bata,30
krna,29
iilm,29
science,29
nursing,27
sakte,27
branch,27
shi,26
thik,26
gya,26
dog,26
block,26
konsa,26
rahega,25
biotechnology,25
yha,25
raja,24
hoti,24
basit,24
niu,24
hostel,23
seat,23
know,23
sakta,22
lene,22
baat,22
robo,22
rhega,22
china,22
english,21
agr,21
time,21
first,21
average,21
soch,21
choose,21
tak,20
mark,20
kesa,20
theek,20
start,20
join,19
padhai,19
letter,19
dijiye,19
management,19
hons,19
greater,19
worth,19
agriculture,19
baar,18
robot,18
skte,18
