Word,Frequency
bombay,29
nhi,22
mess,20
people,15
year,14
hostel,13
want,13
placement,12
hard,12
study,11
work,10
poor,10
iits,9
toh,9
think,9
life,9
rha,8
problem,8
banana,8
get,8
mein,8
saal,8
time,8
day,7
leaf,7
matter,7
hota,7
money,7
package,7
log,7
family,7
know,6
way,6
ban,6
food,6
bad,6
able,6
experience,6
mark,6
mei,6
jyada,6
india,6
high,6
baad,5
cry,5
eat,5
educated,5
abhi,5
tak,5
name,5
kanpur,5
good,5
say,5
government,5
waste,5
girl,5
preparation,5
studyi,5
private,5
indian,5
rama,5
fee,5
karne,5
tho,5
song,5
fake,5
city,4
apne,4
room,4
branch,4
end,4
syllabus,4
tier,4
guy,4
fear,4
exam,4
world,4
math,4
pas,4
tough,4
gonna,4
reality,4
thing,4
mujhe,4
crack,4
dude,4
country,4
khana,4
dream,4
non,4
hyderabad,4
word,4
better,4
dropper,4
hoti,4
gya,4
state,4
fool,4
actually,4
percentile,4
