Word,Frequency
bombay,344
delhi,172
trichy,153
nhi,118
dream,107
best,101
haryana,99
coming,92
year,88
hostel,84
kanpur,71
get,67
madras,67
good,67
food,67
kharagpur,66
mumbai,66
aiims,66
india,64
toh,63
life,61
people,59
want,58
girl,58
hota,57
study,52
love,47
khana,46
indian,46
placement,46
soon,45
time,44
mein,40
iits,40
chahiye,40
south,39
roorkee,39
rha,38
log,37
come,36
guwahati,36
know,35
mujhe,34
day,34
think,33
work,33
nice,32
culture,32
tell,32
give,31
mark,30
exam,30
pune,29
rank,28
abhi,28
branch,28
top,28
technology,27
mess,27
cute,27
guy,27
boy,27
jyada,26
hindi,26
name,26
kha,26
god,26
bangalore,25
got,25
class,25
saal,25
right,24
patna,24
money,24
hard,24
security,24
fee,24
hoti,24
thing,23
job,23
banana,23
apne,23
mehnat,23
wow,22
itna,22
hote,22
package,22
padhai,21
detail,21
karne,21
word,21
baat,20
tax,20
bit,20
festival,20
better,20
crack,20
use,19
kitna,19
tak,19
