Word,Frequency
india,3669
cse,3340
nhi,3331
placement,3260
year,3149
get,3028
admission,3017
hostel,3011
good,2928
nepal,2631
indian,2619
fee,2192
branch,2026
best,1895
people,1891
toh,1797
nepali,1699
mein,1657
rank,1653
got,1511
love,1465
mujhe,1465
country,1449
want,1380
know,1380
justice,1370
better,1361
hota,1333
time,1308
voice,1287
tell,1247
girl,1217
ece,1208
rha,1108
bhopal,1103
bjp,1100
brother,1035
chahiye,1010
exam,987
delhi,966
help,958
room,956
life,949
category,937
raising,936
join,895
state,890
class,888
study,888
day,888
nice,882
kaisa,863
log,860
first,856
science,851
government,830
support,826
shame,823
think,808
give,801
odisha,799
lot,781
lakh,780
case,771
mark,770
soon,755
come,733
percentile,730
abhi,728
great,720
thing,712
jayega,702
package,693
baat,688
coming,680
issue,678
seat,678
bombay,676
clg,674
dream,672
mess,669
option,667
food,642
kitna,641
say,638
check,638
sorry,636
getting,632
right,626
nepalese,625
jaipur,623
new,619
desh,614
guy,607
top,592
patna,591
boy,586
hello,582
obc,581
going,571
