Word,Frequency
good,2547
best,1838
placement,1650
nepal,1649
get,1592
cse,1487
love,1418
india,1395
year,1269
better,1241
justice,1136
want,1102
admission,1095
voice,1054
hostel,1023
nhi,1015
indian,1012
people,940
nepali,926
branch,915
help,895
tell,866
raising,837
nice,813
know,810
fee,762
join,758
support,704
toh,681
got,678
great,670
rank,640
time,622
lot,609
dream,601
brother,586
mein,583
mujhe,578
ece,561
country,550
top,536
girl,523
life,517
give,501
respect,495
exam,494
chance,494
study,491
free,482
worth,456
bhopal,451
hope,448
sure,445
hota,425
science,406
option,399
thing,386
think,376
getting,370
day,369
issue,368
state,367
true,364
first,364
check,360
work,357
come,352
category,348
room,345
class,341
government,341
delhi,340
friend,334
number,329
package,328
clg,318
rha,314
information,312
nepalese,312
case,311
say,310
mark,307
seat,304
sister,303
job,302
chahiye,298
hello,294
mean,292
try,290
guy,285
bjp,284
yeah,282
beautiful,281
right,270
lakh,263
going,263
choose,262
tech,258
mechanical,253
baat,252
