university_name,Negative,Neutral,Positive,Total,Positive %,Negative %,Neutral %
KIIT University,4910,6946,7618,19474,39.12,25.21,35.67
IIT Bombay,268,2971,1156,4395,26.3,6.1,67.6
IIT Madras,155,2298,944,3397,27.79,4.56,67.65
Galgotias University,237,1880,956,3073,31.11,7.71,61.18
Lovely Professional University,210,1791,914,2915,31.36,7.2,61.44
NIT Trichy,134,1815,881,2830,31.13,4.73,64.13
NIT Warangal,235,1338,641,2214,28.95,10.61,60.43
Delhi University,132,1214,758,2104,36.03,6.27,57.7
BITS Pilani,86,1282,571,1939,29.45,4.44,66.12
NIT Silchar,107,976,655,1738,37.69,6.16,56.16
NIT Jaipur,71,980,560,1611,34.76,4.41,60.83
VIT Bhopal University,146,884,508,1538,33.03,9.49,57.48
LNCT Bhopal,113,981,427,1521,28.07,7.43,64.5
Pondicherry University,193,830,466,1489,31.3,12.96,55.74
IIT Hyderabad,79,859,487,1425,34.18,5.54,60.28
NIT Jamshedpur,117,779,504,1400,36.0,8.36,55.64
Manipal University Jaipur,138,789,455,1382,32.92,9.99,57.09
North Eastern Hill University,97,858,377,1332,28.3,7.28,64.41
Bennett University,110,793,403,1306,30.86,8.42,60.72
SRM Institute of Science and Technology,84,657,509,1250,40.72,6.72,52.56
SASTRA Deemed University,87,629,478,1194,40.03,7.29,52.68
IIIT Allahabad,44,744,392,1180,33.22,3.73,63.05
VIT Vellore,105,585,489,1179,41.48,8.91,49.62
NIT Raipur,87,655,378,1120,33.75,7.77,58.48
Banaras Hindu University,58,684,375,1117,33.57,5.19,61.24
NIT Patna,66,747,261,1074,24.3,6.15,69.55
University of Allahabad,68,668,325,1061,30.63,6.41,62.96
IIT Roorkee,72,688,290,1050,27.62,6.86,65.52
IIT Delhi,93,600,312,1005,31.04,9.25,59.7
IIIT Kottayam,92,396,408,896,45.54,10.27,44.2
JECRC University,67,505,313,885,35.37,7.57,57.06
Amity University,71,585,202,858,23.54,8.28,68.18
IIT Jodhpur,66,520,239,825,28.97,8.0,63.03
Symbiosis International University,62,455,291,808,36.01,7.67,56.31
NIT Kurukshetra,57,510,238,805,29.57,7.08,63.35
IIIT Bhopal,79,489,231,799,28.91,9.89,61.2
IIIT Lucknow,77,423,281,781,35.98,9.86,54.16
SAGE University Indore,51,539,186,776,23.97,6.57,69.46
Nirma University,65,345,362,772,46.89,8.42,44.69
Jamia Millia Islamia,47,470,233,750,31.07,6.27,62.67
IIT Guwahati,47,454,239,740,32.3,6.35,61.35
NIT Allahabad,54,406,265,725,36.55,7.45,56.0
Jawaharlal Nehru University,54,424,239,717,33.33,7.53,59.14
IIT Patna,56,452,204,712,28.65,7.87,63.48
NIT Hamirpur,59,412,233,704,33.1,8.38,58.52
IIT (BHU) Varanasi,30,426,238,694,34.29,4.32,61.38
IIT Indore,40,402,230,672,34.23,5.95,59.82
Christ University,76,313,283,672,42.11,11.31,46.58
Aligarh Muslim University,23,417,220,660,33.33,3.48,63.18
IIT Gandhinagar,38,375,236,649,36.36,5.86,57.78
IIIT Hyderabad,56,306,273,635,42.99,8.82,48.19
University of Hyderabad,45,410,178,633,28.12,7.11,64.77
Banasthali Vidyapith,66,369,160,595,26.89,11.09,62.02
Chandigarh University,43,335,187,565,33.1,7.61,59.29
People's University Bhopal,36,258,259,553,46.84,6.51,46.65
NIT Calicut,33,333,170,536,31.72,6.16,62.13
Sharda University,27,323,169,519,32.56,5.2,62.24
Poornima University,55,296,152,503,30.22,10.93,58.85
NIT Nagaland,40,294,162,496,32.66,8.06,59.27
IIIT Bangalore,27,262,166,455,36.48,5.93,57.58
IIT Mandi,17,244,190,451,42.13,3.77,54.1
IIIT Delhi,30,237,151,418,36.12,7.18,56.7
Dhirubhai Ambani Institute of Information and Communication Technology,30,218,168,416,40.38,7.21,52.4
NIT Meghalaya,34,248,130,412,31.55,8.25,60.19
NIT Durgapur,37,247,118,402,29.35,9.2,61.44
IIIT Gwalior,38,200,161,399,40.35,9.52,50.13
IIT Kharagpur,22,252,121,395,30.63,5.57,63.8
IIIT Guwahati,25,223,118,366,32.24,6.83,60.93
IIT Bhubaneswar,34,194,136,364,37.36,9.34,53.3
IIIT Jabalpur,34,173,141,348,40.52,9.77,49.71
IIT Kanpur,12,212,111,335,33.13,3.58,63.28
RV University,26,208,94,328,28.66,7.93,63.41
IIIT Naya Raipur,36,181,96,313,30.67,11.5,57.83
NIT Bhopal,18,204,89,311,28.62,5.79,65.59
IIIT Kancheepuram,29,140,138,307,44.95,9.45,45.6
NIT Arunachal Pradesh,24,185,91,300,30.33,8.0,61.67
PES University,21,156,114,291,39.18,7.22,53.61
Ganpat University,20,145,90,255,35.29,7.84,56.86
IIT Ropar,16,89,71,176,40.34,9.09,50.57
SAGE University Bhopal,3,92,53,148,35.81,2.03,62.16
NIT Rourkela,5,57,53,115,46.09,4.35,49.57
Pandit Deendayal Energy University,10,58,38,106,35.85,9.43,54.72
NIT Surathkal,6,50,42,98,42.86,6.12,51.02
Oriental Institute of Science and Technology Bhopal,4,59,26,89,29.21,4.49,66.29
Ashoka University,4,28,27,59,45.76,6.78,47.46
ITM University Raipur,3,37,8,48,16.67,6.25,77.08
Mansarovar Global University Bhopal,1,18,6,25,24.0,4.0,72.0
Manipal Academy of Higher Education,0,13,9,22,40.91,0.0,59.09
Thapar Institute of Engineering and Technology,0,9,10,19,52.63,0.0,47.37
Kalinga University Raipur,0,13,4,17,23.53,0.0,76.47
Charotar University of Science and Technology,3,4,7,14,50.0,21.43,28.57
Rabindranath Tagore University Bhopal,0,12,2,14,14.29,0.0,85.71
O.P. Jindal Global University,0,2,2,4,50.0,0.0,50.0
