Word,Frequency
cut,50
ban,31
cusb,30
kitna,27
admission,25
mark,24
rha,19
list,19
llb,18
jayega,18
agriculture,17
gat,16
scam,15
hostel,15
ghatiya,15
problem,13
cutoff,13
mujhe,12
bekar,12
year,12
paisa,12
mess,11
hota,11
gya,10
chance,10
doubt,10
baad,10
bad,10
waiting,9
dijiye,9
tension,9
category,9
cancel,9
sakta,9
math,9
mei,8
science,8
fee,8
idea,8
addmission,8
rhe,8
iss,7
obc,7
low,7
result,6
contact,6
bihar,6
batao,6
bed,6
chemistry,6
registration,6
biotechnology,6
tak,6
milega,6
placement,5
name,5
certificate,5
maine,5
general,5
pura,5
seat,5
baar,5
bba,5
saal,5
pichle,5
round,5
pcb,5
time,5
payment,5
itna,5
krne,5
kitne,5
kaisa,5
wrong,5
life,5
score,5
sakte,5
ask,4
income,4
website,4
integrated,4
mne,4
ragistration,4
bna,4
kyo,4
btao,4
kru,4
exam,4
wapas,4
kabhi,4
lakh,4
isme,4
sorry,4
aayushx,4
instagram,4
abhi,4
sath,4
hoti,3
postmatric,3
detailed,3
