Word,Frequency
chance,99
cusb,97
admission,94
gat,51
agriculture,47
list,44
mark,42
obc,40
category,38
llb,35
hostel,35
cutoff,35
mujhe,34
good,34
science,33
jayega,31
year,29
merit,27
subject,27
number,26
english,26
life,25
registration,25
best,24
fee,24
bihar,24
central,23
help,22
want,22
biotechnology,21
baad,20
hota,19
gya,19
bed,18
score,18
math,18
rhega,17
get,17
bta,17
class,16
milega,16
rha,16
south,15
form,15
agr,15
dijiye,15
chahiye,14
waiting,14
hoti,14
girl,14
kitna,14
skta,13
choose,13
ballb,13
addmission,13
general,13
physic,12
aapka,12
exam,12
ncl,12
baar,12
round,12
cut,11
naam,11
join,11
honour,11
chemistry,11
information,10
sakta,10
placement,10
integrated,10
got,10
bata,10
iss,10
apply,10
name,10
isse,10
know,10
private,10
safe,10
jyada,10
padhai,10
tell,10
yahi,10
bacche,9
better,9
rhe,9
hindi,9
dena,9
option,9
scholarship,9
maine,9
saal,9
sakte,9
padega,9
bhut,9
supportive,9
pay,8
kaisa,8
skte,8
