Word,Frequency
cusb,262
admission,253
category,172
mark,166
agriculture,158
llb,156
gat,155
obc,145
jayega,145
cutoff,116
registration,114
list,113
chance,112
kitna,110
hota,105
hostel,100
bed,99
mujhe,84
milega,82
science,82
fee,80
year,79
rha,79
biotechnology,76
bihar,70
general,68
gya,67
english,66
cut,66
subject,62
sakta,61
score,60
ballb,52
get,50
round,49
kaisa,49
ncl,49
baad,49
addmission,48
life,48
math,46
central,46
chemistry,46
chahiye,44
exam,43
rhe,43
hoti,42
start,41
sakte,40
bta,38
abhi,38
maine,38
good,37
kitne,37
waiting,37
placement,37
integrated,37
south,36
class,36
seat,36
form,34
saal,34
bata,34
ncet,34
physic,33
bba,32
ban,31
dijiye,31
payment,31
iss,31
apply,30
hindi,30
naam,29
pcb,29
girl,29
merit,29
skta,28
baar,28
website,28
number,28
aapka,27
tak,27
certificate,26
paisa,26
hons,26
possible,25
time,25
yha,25
agr,25
want,24
total,24
skte,24
help,24
best,24
political,23
icar,23
eng,23
psychology,22
got,21
room,21
