university_name,count
Patna University,4510
Central University of South Bihar,3002
Delhi University,1736
Jadavpur University,1316
SRM Institute of Science and Technology,1189
University of Hyderabad,1155
Jiwaji University Gwalior,1082
Banaras Hindu University,1071
BML Munjal University,1040
Sikkim University,1016
Kerala University,963
College of Engineering Pune,832
Jamia Millia Islamia,825
Pondicherry University,682
Savitribai Phule Pune University,555
Jawaharlal Nehru University,545
Dr APJ Abdul Kalam Technical University,507
Manipur University,485
North Eastern Hill University,423
Mysore University,393
Shri Shankaracharya Technical Campus Bhilai,364
VIT Bhopal University,334
Lucknow University,311
VIT Vellore,282
Guru Ghasidas Vishwavidyalaya,278
Osmania University,266
Andhra University,266
University of Calcutta,243
University of Madras,205
Mizoram University,202
Aligarh Muslim University,196
Central University of Karnataka,190
Tezpur University,175
University of Allahabad,166
University of Rajasthan,159
Madan Mohan Malaviya University of Technology,130
Dr Babasaheb Ambedkar Technological University,129
University of Mumbai,126
Dibrugarh University,118
Assam University,102
Devi Ahilya Vishwavidyalaya Indore,97
Rajasthan Technical University,65
Harcourt Butler Technical University,65
Institute of Chemical Technology Mumbai,58
Ranchi University,44
Indian Institute of Management,42
Oriental Institute of Science and Technology Bhopal,41
Gujarat University,38
Veermata Jijabai Technological Institute,19
Barkatullah University Bhopal,15
Tripura University,5
