Word,Frequency
uske,18
mujhe,16
problem,15
jane,12
rha,10
maine,10
hoti,9
baar,9
ranking,9
admission,9
list,8
date,8
wale,8
jaise,7
aisa,7
class,7
log,7
preference,7
sath,7
time,7
vishvnath,6
exam,6
bekar,6
rahte,6
rhi,6
sharm,6
goa,6
manali,6
north,6
apne,6
wahaa,6
sister,6
category,6
sai,6
fake,6
mandir,6
fee,5
hin,5
jayega,5
drop,5
usme,5
got,5
chahiye,5
get,5
admit,4
certificate,4
ban,4
seat,4
form,4
top,4
prefrence,4
agr,4
hota,4
mei,4
card,4
prblm,4
first,4
subject,4
hote,3
science,3
phase,3
hons,3
bcom,3
art,3
local,3
jaoge,3
milega,3
register,3
score,3
fati,3
gya,3
confused,3
fill,3
pay,3
error,3
tak,3
abhi,3
mark,3
kal,3
dikha,3
cut,3
karne,3
rhe,3
kia,3
option,3
round,3
faltu,3
prr,3
portal,2
hone,2
trail,2
pure,2
dekho,2
year,2
mene,2
placement,2
bat,2
bit,2
word,2
gold,2
