Word,Frequency
preference,90
best,74
aapko,72
list,69
hons,62
science,61
delhi,58
help,53
activity,49
curricular,48
bcom,47
jaata,46
choose,44
better,42
important,41
commerce,40
placement,40
good,40
karne,39
diverse,39
sakte,39
art,39
provide,38
facility,37
aapke,37
admission,36
point,36
environment,36
goal,35
score,35
field,35
baare,34
community,34
jaana,32
apni,32
career,31
get,31
mujhe,30
excellence,29
program,29
research,29
area,29
want,28
guidance,28
exam,28
category,27
top,26
ranking,25
hindu,25
apne,24
mark,24
dream,24
development,23
tell,23
infrastructure,22
honour,22
got,22
saath,21
srcc,21
fill,21
easily,21
north,21
math,20
idea,20
dedicated,20
support,20
website,20
chance,20
interest,19
offer,19
member,19
pehle,19
consider,19
postgraduate,19
khud,19
jaise,19
iske,18
hisab,18
information,18
mauka,18
available,18
based,18
aate,18
location,18
graduate,18
prasiddh,18
offered,17
subject,17
pas,17
sthit,17
jaankari,17
modern,17
lene,17
great,17
isse,17
decision,17
chahiye,17
exposure,17
bba,17
general,17
