Word,Frequency
preference,138
bcom,116
list,115
hons,99
science,87
best,79
delhi,79
aapko,74
mujhe,70
admission,68
exam,62
commerce,62
get,60
score,59
subject,58
category,58
ranking,56
help,55
mark,53
language,52
activity,49
choose,49
art,48
curricular,48
sakte,47
english,46
jaata,46
hindu,45
placement,45
aapke,43
karne,43
better,43
provide,42
north,42
got,42
program,42
important,42
srcc,40
good,40
diverse,39
environment,39
math,39
fill,39
facility,38
class,38
gat,38
baare,37
point,37
pas,36
field,35
south,35
hindi,35
goal,35
community,34
obc,34
rha,33
apni,33
jaana,32
time,32
research,32
phase,32
career,31
top,31
want,30
apne,30
excellence,29
area,29
chahiye,29
general,28
hota,28
jaise,28
guidance,28
mene,28
option,28
tell,28
year,27
sheet,26
maine,26
arsd,26
uske,25
dream,24
bba,24
jayega,23
abhi,23
development,23
dii,23
honour,22
rank,22
infrastructure,22
chance,22
offer,22
saath,22
khud,21
form,21
pehle,21
sakta,21
easily,21
consider,21
iske,21
idea,21
