Word,Frequency
admission,118
good,115
best,81
nhi,73
galgotia,68
placement,59
cse,55
bajaj,51
noida,49
better,48
mujhe,38
dear,37
mein,37
pracheeverma,36
suggest,34
tell,34
help,34
bba,30
kaisa,29
want,29
gcet,28
get,25
fee,25
toh,23
bpt,22
rha,22
year,20
iilm,20
robo,20
greater,19
dog,19
bata,19
tech,18
konsa,18
china,18
option,18
join,18
clg,17
chahiye,17
rahega,16
know,16
worth,16
bta,15
krna,15
galgotiya,14
abhi,14
thik,14
lakh,14
sakta,13
dii,13
dijiye,13
gya,12
rank,12
niet,12
wale,12
addmission,12
nursing,12
yahi,12
baar,12
collage,12
rhe,12
nice,12
class,12
choose,12
hoti,11
agr,11
information,11
maine,11
aktu,11
specialization,11
seat,11
opportunity,11
rhega,11
science,11
padhai,11
hote,11
hota,11
program,11
great,11
hello,10
amazing,10
agriculture,10
top,10
technology,10
sure,10
letter,10
niu,10
first,9
pcm,9
number,9
branch,9
study,9
yeah,9
time,9
private,9
work,9
kcc,9
har,9
company,9
direct,9
