Word,Frequency
get,14
online,12
people,10
lpa,10
package,10
lowest,9
year,9
lakh,8
placement,8
hostel,7
mess,7
science,7
fee,7
ask,7
building,6
lie,6
question,6
tamil,6
indian,6
good,6
session,6
kia,6
job,6
worst,6
life,6
waste,5
bad,5
join,5
madras,5
old,5
company,5
time,5
know,5
hard,5
doubt,5
nhi,5
tech,5
asked,4
offline,4
mark,4
day,4
drop,4
log,4
lot,4
option,4
wale,4
india,4
idea,4
lower,4
ban,4
skill,4
certificate,4
clear,4
data,4
banate,4
thing,4
program,4
guy,4
rha,4
exam,3
syllabus,3
research,3
due,3
iitian,3
father,3
today,3
offer,3
overlapping,3
term,3
sound,3
math,3
real,3
useful,3
computer,3
equal,3
working,3
pas,3
learning,3
boy,3
miss,3
general,3
maine,3
world,3
singapore,3
walo,3
said,3
salary,3
fails,3
study,3
rhe,3
system,3
got,3
detail,3
software,3
iits,3
globally,3
instructor,3
work,3
regarding,3
matter,3
