Word,Frequency
madras,82
nice,68
best,66
year,57
dream,49
good,46
get,40
dance,37
exam,34
india,32
want,29
join,26
top,23
science,23
give,22
beautiful,22
help,22
love,20
fee,19
level,19
time,19
study,17
work,17
bombay,17
delhi,16
better,16
free,16
online,16
tell,16
data,16
people,15
mein,15
diploma,15
advanced,14
know,14
nhi,14
placement,14
hostel,14
hard,14
got,14
clear,13
iits,13
lakh,13
wow,13
come,13
world,13
kharagpur,13
caste,12
government,12
worth,12
foundation,11
anna,11
friend,11
etc,11
try,11
chennai,11
program,11
country,10
day,10
super,10
great,10
life,10
job,10
chala,10
soon,10
rank,10
indian,10
tier,10
class,10
information,10
language,10
hope,9
true,9
happy,9
easy,9
anga,9
toh,9
future,9
andi,9
fan,9
studying,9
place,9
sister,9
tech,9
think,8
mark,8
pas,8
far,8
certificate,8
useful,8
aiims,8
boy,8
first,8
matter,8
definitely,8
age,8
crack,8
seat,8
hyderabad,8
nala,8
