Word,Frequency
ragging,56
jadavpur,29
year,14
murder,11
hostel,11
hota,10
suicide,10
problem,9
branch,9
bengal,9
senior,9
worst,8
get,7
bekar,7
death,6
faizan,6
state,6
jompuri,6
know,6
time,6
high,6
admission,6
disgusting,6
iits,5
life,5
india,5
ahmed,5
kharagpur,5
hub,5
word,5
case,5
bengali,5
drug,5
lower,5
mean,5
sad,5
wrong,5
incident,4
bad,4
literally,4
news,4
political,4
first,4
lpa,4
issue,4
hell,4
murdered,4
think,4
died,4
true,4
chala,4
want,4
choose,4
drop,4
dangerous,4
wbjee,4
placement,4
come,4
ruined,3
killed,3
pata,3
seat,3
deepayanmandal,3
sabse,3
actually,3
environment,3
criminal,3
rank,3
great,3
avoid,3
boy,3
faltu,3
got,3
engg,3
yamraj,3
mentally,3
hoti,3
kore,3
instead,3
gang,3
house,3
anti,3
safe,3
kgp,3
night,3
har,3
sex,3
physically,3
abused,3
drinking,3
surrounded,3
beawar,3
tourchered,3
west,3
real,3
sob,3
hoi,3
rumour,3
place,3
spreading,3
