Word,Frequency
jadavpur,53
ragging,40
chance,24
best,22
better,21
placement,18
admission,17
hostel,17
get,17
proud,16
good,16
bengal,16
top,15
rank,15
branch,14
hota,13
pride,12
want,11
west,11
year,11
iits,10
know,10
safe,10
ami,9
great,9
india,9
join,9
first,8
kolkata,8
yeah,8
life,7
bengali,7
cse,7
tell,7
true,7
rourkela,7
guy,7
question,6
people,6
nice,6
part,6
delhi,6
dream,6
electrical,6
state,6
politics,6
package,6
wbjee,6
ranking,6
jadavpurian,6
average,5
culture,5
dijiye,5
clg,5
reputation,5
ask,5
bit,5
exam,5
sure,5
sakta,5
study,5
research,5
term,5
bata,5
log,5
fine,5
dada,5
say,5
due,5
available,5
mechanical,5
prof,5
friend,4
pretty,4
rajasthan,4
getting,4
job,4
respect,4
agr,4
stay,4
wise,4
suggest,4
aura,4
united,4
mujhe,4
dii,4
level,4
lpa,4
clear,4
coding,4
bombay,4
doubt,4
data,4
collage,4
believe,4
girl,4
baad,4
congratulation,4
talk,4
general,4
