Word,Frequency
ragging,159
jadavpur,155
bengal,50
hota,48
year,45
admission,43
hostel,42
placement,38
branch,34
rank,34
west,33
get,33
know,28
chance,24
state,24
iits,23
wbjee,22
better,22
best,22
bengali,22
cse,21
india,21
lpa,20
kolkata,18
hoti,18
proud,18
top,17
good,17
package,17
want,16
senior,16
seat,16
average,15
people,14
ami,14
exam,13
dijiye,13
safe,13
pride,12
murder,12
politics,12
true,12
clg,12
life,12
tell,12
first,12
great,12
mean,11
log,11
suicide,11
death,11
mechanical,11
got,11
political,11
return,11
join,10
kharagpur,10
entry,10
worst,10
time,10
dada,10
mujhe,10
ranking,10
problem,10
kore,9
guy,9
engg,9
sakta,9
come,9
bihar,9
think,9
case,9
job,9
hoi,9
bit,9
say,9
hub,8
jamia,8
yeah,8
calcutta,8
banawo,8
milai,8
wrong,8
getting,8
dream,8
rourkela,8
high,8
pehle,8
jadavpurian,8
general,8
collage,8
bare,8
kitna,8
mark,8
har,8
jao,8
environment,8
question,8
part,8
kgp,8
