Word,Frequency
india,3126
nepal,2612
indian,2331
nepali,1695
people,1452
justice,1364
country,1354
voice,1232
bjp,1089
love,968
raising,933
shame,798
odisha,742
case,658
nepalese,625
support,592
government,581
brother,576
desh,568
girl,559
issue,515
respect,509
action,504
nhi,491
good,488
incident,452
sorry,443
log,434
lot,427
get,423
thing,408
time,408
sister,403
toh,388
know,385
modi,371
state,360
year,343
want,338
right,335
think,334
day,333
medium,332
bangladesh,326
say,321
news,316
chahiye,303
prakriti,302
mein,294
ashamed,294
hindu,279
deshbhakt,278
guy,278
come,278
hate,276
baat,274
feel,269
govt,269
matter,265
hota,262
political,253
bad,249
में,247
sad,247
happened,245
shameful,240
free,237
study,237
hope,236
politician,231
life,231
suicide,226
china,225
truth,224
sath,220
boy,220
world,218
safe,218
system,217
stand,217
power,216
first,214
way,214
relationship,213
great,206
ladki,205
party,202
hostel,197
name,195
making,191
wrong,190
pakistan,188
friend,187
going,186
नहीं,185
kind,185
apne,185
big,183
give,183
true,178
