Word,Frequency
mess,32
block,24
admission,19
hostel,19
placement,14
fee,12
mein,12
exam,11
nhi,9
good,9
time,8
test,8
khana,7
study,7
bekar,7
drop,7
tough,7
lakh,7
doubt,7
worst,6
pay,6
njn,5
option,5
clg,5
lot,5
form,5
central,5
apply,5
mujhe,5
pas,5
haii,5
apne,5
scholarship,5
lpunest,5
get,5
hoti,5
bba,5
krdiya,4
maine,4
come,4
charge,4
thing,4
alcohol,4
krte,4
rha,4
actually,4
sorry,4
mock,4
case,4
join,4
prajwalkambojvlogs,4
cse,4
money,4
orr,4
pareshan,4
mark,4
krna,4
different,4
enik,4
uska,4
cut,4
day,3
confusion,3
idea,3
andi,3
hota,3
package,3
payment,3
took,3
paper,3
leave,3
problem,3
pdta,3
ariyayirunn,3
raat,3
krke,3
bhr,3
class,3
rhi,3
hidden,3
bad,3
aisa,3
ques,3
selvarajks,3
guy,3
bacche,3
program,3
month,3
wifi,3
choose,3
faltu,3
field,3
cancel,3
tell,3
online,3
wala,3
food,3
life,3
dijia,3
bana,3
