Word,Frequency
admission,172
placement,156
fee,129
cse,109
hostel,93
good,92
exam,85
nhi,71
scholarship,64
lpunest,59
kaisa,51
join,50
toh,49
get,47
year,46
tell,40
chahiye,39
mark,39
contact,38
best,37
want,36
nice,36
mujhe,36
mess,35
mein,35
akka,34
hota,33
give,33
block,33
got,32
apply,31
information,31
food,30
package,29
room,29
form,29
thankyou,28
help,27
check,27
better,27
rha,27
study,26
lakh,26
time,26
online,25
great,25
entrance,24
matlab,23
bba,23
class,22
private,22
branch,22
average,22
know,21
clg,21
test,21
punjab,20
website,20
स्कॉलरशिप,20
apne,20
detail,20
india,19
option,19
hello,19
instagram,19
percentile,19
worth,18
pas,18
avide,18
haii,18
paisa,18
tech,18
day,17
kitna,17
wale,17
informative,17
number,17
abhi,17
njn,17
comedk,17
charge,17
available,17
dijiye,16
theprajwalkamboj,16
discount,16
bare,16
sakte,15
reality,15
session,15
opportunity,15
free,15
full,15
agriculture,15
baat,15
mean,15
btw,15
wala,14
maine,14
code,14
फीस,14
