Word,Frequency
problem,138
cut,134
fee,123
year,120
admission,115
hostel,111
bad,103
get,102
placement,90
bihar,89
ban,88
rha,87
ranking,85
hota,79
mess,79
good,76
exam,76
log,69
time,68
bekar,66
mujhe,65
mark,63
rank,62
jayega,57
ragging,57
worst,53
india,53
state,53
kitna,52
cse,51
low,49
paisa,49
gya,48
doubt,47
know,47
government,47
apply,47
class,45
wrong,44
branch,44
list,44
science,43
govt,41
uske,40
sorry,38
chahiye,38
people,38
system,37
fake,37
drop,37
karne,36
form,36
got,36
kerala,35
wale,35
rhe,35
check,34
job,34
tell,34
maine,34
category,33
abhi,33
want,33
apne,33
confused,32
hoti,32
jadavpur,32
scam,32
cutoff,32
seat,32
life,32
lakh,32
baad,32
baar,32
give,32
patna,31
option,31
tak,31
bit,31
sppu,31
application,31
waste,30
clg,30
ghatiya,30
thing,30
cusb,30
din,30
baat,30
kia,30
study,29
private,29
itna,29
taking,29
information,29
chemistry,29
sakta,29
bjp,29
addmission,28
join,28
saal,28
