Word,Frequency
admission,598
में,438
bihar,385
cse,356
rank,335
year,321
hota,316
exam,289
placement,285
fee,277
category,274
get,265
नहीं,262
hostel,234
rha,234
jayega,229
mark,224
science,216
हैं,215
kitna,202
obc,198
mujhe,193
बिहार,189
chahiye,187
ranking,171
apply,166
milega,164
है।,164
kaisa,160
log,157
form,157
llb,154
cutoff,152
gya,151
यूनिवर्सिटी,149
sakta,147
got,143
class,142
branch,141
english,140
time,138
cusb,136
list,133
clg,130
gat,130
seat,129
abhi,128
registration,127
rhe,125
agriculture,122
patna,121
wale,118
बहुत,117
state,116
tak,115
baat,112
score,111
subject,108
vote,108
paisa,107
sakte,105
kitne,105
delhi,105
general,102
start,102
रहा,101
bed,100
desh,100
शिक्षा,99
percentile,99
know,99
india,98
lakh,97
सरकार,96
saal,95
hoti,95
baar,94
result,93
jadavpur,93
baad,92
ece,90
bcom,89
package,88
रहे,88
language,87
lpa,87
scholarship,86
लिए,86
government,84
hindi,84
first,84
round,83
bit,82
din,82
news,81
sikkim,81
wala,80
maine,80
sarkar,79
pas,79
