Word,Frequency
admission,1185
good,756
placement,756
cse,719
year,713
get,700
bihar,655
best,619
rank,617
exam,614
fee,595
hota,548
hostel,539
में,498
science,486
category,470
ranking,457
mark,453
mujhe,449
rha,443
better,426
jayega,387
list,357
branch,356
tell,353
time,351
chahiye,347
top,346
help,334
obc,331
got,330
apply,329
log,321
class,317
want,314
form,311
know,309
kitna,309
नहीं,294
chance,289
cutoff,283
india,279
cusb,264
gya,259
state,256
information,255
delhi,254
english,249
clg,248
llb,247
milega,243
seat,242
abhi,241
score,240
हैं,240
baat,235
sakta,234
rhe,230
subject,223
kaisa,219
job,218
patna,218
बिहार,215
government,213
option,213
tak,212
gat,210
ece,206
sakte,206
agriculture,205
package,203
general,201
paisa,199
wale,199
registration,195
bit,194
percentile,194
give,192
scholarship,192
cut,191
lakh,190
jadavpur,189
check,188
join,185
baad,185
hoti,184
vote,182
private,181
question,180
है।,180
maine,179
first,178
sikkim,177
number,177
lpa,177
problem,176
result,176
ragging,175
baar,175
great,172
