Topic,Keywords
1,"class, हैं, management, quota, detail, registration, start, available, addmission, doubt, bba, open, news, kaam, issue"
2,"है।, muslim, bhopal, hindu, delhi, baar, new, try, counselling, vote, bare, career, direct, sath, bjp"
3,"cse, rank, ranking, better, best, branch, top, got, bit, india, ece, seat, package, lpa, cutoff"
4,"year, exam, time, option, sakte, karne, website, check, result, hello, reservation, jamia, give, problem, rhi"
5,"vdo, lakh, information, research, cusb, aapko, govt, technology, provide, art, mmmut, job, biotechnology, isme, board"
6,"admission, mujhe, science, category, mark, jayega, obc, list, chahiye, kitna, help, upr, percentile, plaksha, score"
7,"apply, form, gya, tak, abhi, wale, baad, saal, maine, round, number, fill, online, din, patna"
8,"hota, bihar, rha, clg, log, baat, rhe, paisa, hoti, apne, pata, iss, dono, desh, aata"
9,"में, यूनिवर्सिटी, बिहार, हैं।, बहुत, क्या, रहा, community, शिक्षा, साल, रहे, कुछ, कोई, लिए, वाले"
10,"placement, good, fee, get, hostel, tell, know, want, नहीं, kaisa, life, whatsapp, free, entrance, hey"
