Word,Frequency
bihar,76
log,41
ban,34
patna,29
paisa,28
hota,26
bad,26
vote,26
problem,25
government,23
kaam,22
bjp,22
system,22
rha,22
govt,21
desh,20
shame,20
fee,20
में,19
sarkar,18
exam,18
india,18
haal,18
class,17
corruption,17
jab,17
chahiye,15
बिहार,15
bekar,15
din,14
job,14
gya,14
baat,14
rhe,13
नहीं,13
saal,13
tak,12
time,12
itna,12
state,12
mujhe,12
condition,12
modi,12
thing,12
fail,12
country,11
karne,11
baad,11
people,11
rhi,10
get,10
yahi,10
jaise,10
wale,10
apna,10
news,10
dena,10
pain,10
issue,10
aaj,10
naam,10
science,9
khud,9
abhi,9
apne,9
worst,9
padhai,9
year,9
aisa,9
gov,9
har,9
jayega,9
good,9
neta,9
kharab,9
scholarship,9
hostel,8
jaye,8
ghar,8
use,8
bacche,8
hone,8
lene,8
unko,8
change,8
nitish,8
मैं,8
loan,8
sarkari,8
wala,8
board,8
level,8
ssc,8
jan,8
voice,8
fund,7
study,7
suspend,7
mess,7
hoti,7
