Word,Frequency
bihar,138
good,89
work,65
news,63
great,61
pinch,55
baat,55
log,54
best,53
reporting,51
patna,51
time,46
job,40
system,39
hota,35
rhe,34
free,33
government,32
vote,32
chahiye,30
journalism,28
rha,28
में,27
kaam,26
support,26
loan,26
apne,25
desh,25
paisa,24
top,23
haal,23
people,22
team,22
safe,22
sarkar,21
baar,21
medium,21
neta,21
apna,20
tak,20
india,20
political,20
class,20
badhiya,19
abhi,19
nice,19
khud,19
govt,18
bjp,18
love,18
come,18
board,18
salute,17
reality,17
jab,17
better,17
kuchh,17
election,16
janta,16
corruption,16
real,16
aapko,16
kabhi,16
pata,15
modi,15
jaye,15
party,15
jyada,15
positive,15
din,15
exam,15
itna,15
wale,15
bar,15
aise,14
state,14
muzaffarpur,14
jaise,14
kijiye,14
isse,14
rhi,14
condition,14
ground,14
cover,14
science,14
kre,14
yahi,13
scholarship,13
upsc,12
guy,12
true,12
gya,12
chaiye,12
voice,12
change,12
padh,12
god,12
sath,12
help,12
level,11
