Word,Frequency
bihar,525
में,383
नहीं,239
बिहार,215
log,206
हैं,200
patna,175
news,145
है।,140
desh,139
vote,138
pinch,132
यूनिवर्सिटी,129
paisa,118
baat,116
rha,115
bjp,114
sarkar,113
बहुत,112
haal,110
chahiye,107
hota,104
good,103
system,102
government,99
शिक्षा,98
kaam,95
रहा,94
rhe,93
सरकार,91
time,90
neta,88
reporting,85
लिए,83
रहे,82
india,80
दिया,80
कोई,79
baar,78
job,77
yahi,76
work,75
पटना,73
modi,73
govt,72
wale,72
gya,72
har,71
apne,69
jab,69
देश,68
कुछ,67
tak,67
लोग,66
great,64
janta,63
exam,63
aise,63
क्या,63
kuchh,62
corruption,62
bar,62
बात,61
लेकिन,60
class,60
बार,59
saal,58
साल,57
magadh,57
aisa,57
jaye,57
kabhi,56
पत्रकारिता,56
apna,55
din,55
चाहिए,55
itna,55
best,54
halat,54
medium,54
काम,54
गया,53
aaj,53
journalism,52
हैं।,52
भाई,52
khud,52
state,51
rhi,51
hal,51
chor,50
jayega,50
salute,50
fee,49
abhi,49
अपने,46
करने,46
wala,45
नेता,45
मैं,45
