Word,Frequency
good,667
best,596
admission,472
better,398
placement,381
get,333
help,318
top,316
cse,312
want,272
year,272
chance,262
tell,252
exam,249
science,227
rank,220
ranking,201
fee,195
hostel,194
mujhe,191
bihar,181
information,180
list,180
branch,171
mark,166
category,163
know,163
great,163
number,162
join,153
hota,153
got,151
time,145
delhi,132
class,130
free,129
india,128
nice,124
chahiye,122
rha,122
work,120
job,119
form,118
apply,116
question,112
obc,112
give,111
score,111
come,110
option,105
research,103
choose,102
jayega,101
aapko,100
ece,100
cutoff,99
cusb,98
preference,97
private,96
log,95
noted,94
baat,93
whatsapp,93
subject,92
study,92
provide,90
technology,90
try,89
package,89
worth,89
clg,88
state,87
guidance,87
merit,87
hey,87
life,86
sure,86
english,86
fill,84
important,84
general,84
facility,83
hello,82
dijiye,82
government,82
sakte,81
seat,81
bit,81
bata,80
abhi,80
hons,80
scholarship,80
sikkim,80
percentile,79
detail,79
support,78
check,76
apne,75
love,74
central,74
