university_name,profanity_count
Aligarh Muslim University,0
Shri Shankaracharya Technical Campus Bhilai,0
Mysore University,0
North Eastern Hill University,0
Oriental Institute of Science and Technology Bhopal,0
Osmania University,0
Patna University,0
Pondicherry University,0
Rajasthan Technical University,0
Ranchi University,0
SRM Institute of Science and Technology,0
Savitribai Phule Pune University,0
Sikkim University,0
Manipur University,0
Tezpur University,0
Tripura University,0
University of Allahabad,0
University of Calcutta,0
University of Hyderabad,0
University of Madras,0
University of Mumbai,0
University of Rajasthan,0
VIT Bhopal University,0
VIT Vellore,0
Mizoram University,0
Madan Mohan Malaviya University of Technology,0
Andhra University,0
Dr APJ Abdul Kalam Technical University,0
Assam University,0
BML Munjal University,0
Banaras Hindu University,0
Barkatullah University Bhopal,0
Central University of Karnataka,0
Central University of South Bihar,0
College of Engineering Pune,0
Delhi University,0
Devi Ahilya Vishwavidyalaya Indore,0
Dibrugarh University,0
Dr Babasaheb Ambedkar Technological University,0
Lucknow University,0
Gujarat University,0
Guru Ghasidas Vishwavidyalaya,0
Harcourt Butler Technical University,0
Indian Institute of Management,0
Institute of Chemical Technology Mumbai,0
Jadavpur University,0
Jamia Millia Islamia,0
Jawaharlal Nehru University,0
Jiwaji University Gwalior,0
Kerala University,0
Veermata Jijabai Technological Institute,0
