university_name,Negative,Neutral,Positive,Total,Positive %,Negative %,Neutral %
Patna University,386,3089,1035,4510,22.95,8.56,68.49
Central University of South Bihar,278,1981,743,3002,24.75,9.26,65.99
Delhi University,112,981,643,1736,37.04,6.45,56.51
Jadavpur University,155,763,398,1316,30.24,11.78,57.98
SRM Institute of Science and Technology,50,783,356,1189,29.94,4.21,65.85
University of Hyderabad,113,706,336,1155,29.09,9.78,61.13
Jiwaji University Gwalior,101,732,249,1082,23.01,9.33,67.65
Banaras Hindu University,68,681,322,1071,30.07,6.35,63.59
BML Munjal University,82,526,432,1040,41.54,7.88,50.58
Sikkim University,98,577,341,1016,33.56,9.65,56.79
Kerala University,91,617,255,963,26.48,9.45,64.07
College of Engineering Pune,61,474,297,832,35.7,7.33,56.97
Jamia Millia Islamia,79,500,246,825,29.82,9.58,60.61
Pondicherry University,65,362,255,682,37.39,9.53,53.08
Savitribai Phule Pune University,51,312,192,555,34.59,9.19,56.22
Jawaharlal Nehru University,62,335,148,545,27.16,11.38,61.47
Dr APJ Abdul Kalam Technical University,38,272,197,507,38.86,7.5,53.65
Manipur University,40,281,164,485,33.81,8.25,57.94
North Eastern Hill University,39,241,143,423,33.81,9.22,56.97
Mysore University,33,228,132,393,33.59,8.4,58.02
Shri Shankaracharya Technical Campus Bhilai,27,221,116,364,31.87,7.42,60.71
VIT Bhopal University,27,218,89,334,26.65,8.08,65.27
Lucknow University,20,223,68,311,21.86,6.43,71.7
VIT Vellore,32,146,104,282,36.88,11.35,51.77
Guru Ghasidas Vishwavidyalaya,18,170,90,278,32.37,6.47,61.15
Osmania University,17,160,89,266,33.46,6.39,60.15
Andhra University,13,152,101,266,37.97,4.89,57.14
University of Calcutta,22,130,91,243,37.45,9.05,53.5
University of Madras,23,128,54,205,26.34,11.22,62.44
Mizoram University,15,116,71,202,35.15,7.43,57.43
Aligarh Muslim University,7,124,65,196,33.16,3.57,63.27
Central University of Karnataka,18,76,96,190,50.53,9.47,40.0
Tezpur University,14,105,56,175,32.0,8.0,60.0
University of Allahabad,5,100,61,166,36.75,3.01,60.24
University of Rajasthan,4,80,75,159,47.17,2.52,50.31
Madan Mohan Malaviya University of Technology,11,83,36,130,27.69,8.46,63.85
Dr Babasaheb Ambedkar Technological University,7,87,35,129,27.13,5.43,67.44
University of Mumbai,10,65,51,126,40.48,7.94,51.59
Dibrugarh University,6,69,43,118,36.44,5.08,58.47
Assam University,14,54,34,102,33.33,13.73,52.94
Devi Ahilya Vishwavidyalaya Indore,5,71,21,97,21.65,5.15,73.2
Rajasthan Technical University,3,50,12,65,18.46,4.62,76.92
Harcourt Butler Technical University,11,32,22,65,33.85,16.92,49.23
Institute of Chemical Technology Mumbai,5,27,26,58,44.83,8.62,46.55
Ranchi University,3,22,19,44,43.18,6.82,50.0
Indian Institute of Management,0,14,28,42,66.67,0.0,33.33
Oriental Institute of Science and Technology Bhopal,5,27,9,41,21.95,12.2,65.85
Gujarat University,3,23,12,38,31.58,7.89,60.53
Veermata Jijabai Technological Institute,1,9,9,19,47.37,5.26,47.37
Barkatullah University Bhopal,0,13,2,15,13.33,0.0,86.67
Tripura University,1,4,0,5,0.0,20.0,80.0
