Word,Frequency
anna,9
placement,8
cut,8
get,5
podunga,4
rajalakshmi,4
worst,4
mark,3
waste,3
isiliye,3
rank,3
scholarship,3
good,3
sollunga,2
bad,2
check,2
seriously,2
thik,2
serious,2
ata,2
computer,2
study,2
maintain,2
preferable,2
tech,2
psg,2
saal,2
cgpa,2
sorry,2
delhi,2
certificate,2
brother,2
current,2
requirement,2
fee,2
wrong,2
document,2
mohali,2
birth,2
new,2
job,1
kirishnammal,1
coimbatore,1
patunga,1
tamil,1
central,1
card,1
hell,1
nadu,1
adhaar,1
aiims,1
podungaaaa,1
psgr,1
due,1
collage,1
full,1
air,1
body,1
hot,1
climate,1
covered,1
forr,1
dust,1
join,1
undi,1
fully,1
area,1
open,1
aditya,1
available,1
missed,1
eapcet,1
panimalar,1
feedback,1
fun,1
total,1
renewable,1
avail,1
equitable,1
representation,1
renewed,1
year,1
condition,1
insta,1
handle,1
phone,1
ghatiya,1
uni,1
chitkara,1
city,1
dono,1
chutiya,1
option,1
drop,1
unless,1
dedication,1
exam,1
loss,1
minimum,1
newww,1
