Word,Frequency
noted,90
akka,28
join,24
best,22
anna,21
good,16
fee,15
placement,14
year,13
want,11
chennai,11
clg,11
gurinchi,10
tell,10
scholarship,9
ece,9
better,9
lakh,8
technology,8
detail,8
coimbatore,7
got,7
rank,7
sollunga,7
science,7
get,7
exam,7
stay,6
vachidhi,6
cse,6
top,6
srkr,6
lakshya,5
cutoff,5
help,5
total,5
pakka,5
deemed,5
bokka,5
private,5
entrance,5
future,5
hyderabad,5
medical,4
entha,4
opportunity,4
chepandi,4
vishnu,4
research,4
amrita,4
cheppandi,4
seat,4
mark,4
podunga,4
free,4
aditya,4
glad,4
skill,4
cheyyandi,4
package,4
company,4
kuda,4
topic,4
friend,4
know,4
yeah,4
shiksha,3
nice,3
ready,3
pana,3
ponga,3
gvp,3
high,3
send,3
marketing,3
hey,3
explain,3
parent,3
doubt,3
request,3
information,3
brother,3
tuned,3
try,3
kindly,3
provide,3
cut,3
number,3
klu,3
whatsapp,3
tech,3
first,3
sure,3
mit,3
give,3
medium,3
eamcet,3
inr,3
explanation,3
trichy,3
