Word,Frequency
noted,90
akka,72
anna,58
vdo,49
plaksha,48
upr,48
clg,44
fee,39
chennai,38
placement,34
coimbatore,27
stay,26
join,26
gurinchi,25
bannaoo,24
cse,24
bana,24
kbse,24
bannaooo,24
banna,24
rank,23
tuned,23
ponga,23
best,22
vachidhi,21
year,21
podunga,21
aditya,20
tech,19
good,19
scholarship,19
pakka,19
technology,18
exam,17
sollunga,17
get,17
ece,16
trichy,16
collage,15
cutoff,15
klu,14
cheyandi,14
science,14
sastra,14
lakshya,14
lakh,13
pathi,13
tell,12
admission,12
cheppandi,12
cut,12
mark,12
sri,12
में,11
want,11
amrita,11
broo,11
sneak,11
हैं,10
poga,10
aadhe,10
mit,10
seat,10
medical,10
got,10
entrance,10
psg,10
deemed,10
detail,9
mgr,9
nalla,9
vishnu,9
entha,9
better,9
saveetha,9
vignan,9
srkr,9
vasthundhi,9
jntu,9
vvit,9
है।,8
hyderabad,8
joined,8
branch,8
dhanalakshmi,8
pannunga,8
based,8
give,8
vel,8
reimbursement,7
andhra,7
high,7
check,7
kuda,7
vijayawada,7
plzz,7
bhimavaram,7
know,7
naa,7
लाख,7
