comment_id,parent_comment_id,video_id,university_name,category,video_title,author_name,author_channel_id,author_profile_url,author_thumbnail,comment_text,published_at,updated_at,likes,reply_count,is_reply,comment_length,word_count,clean_comment,combined_comment,avg_word_length,sentence_count,hashtag_count,mention_count,exclamation_count,question_count,emoji_count,uppercase_word_count,comment_year,comment_month,comment_day,comment_weekday,comment_hour,hinglish_score,positive_hinglish_words,negative_hinglish_words,profanity_count,contains_profanity,negative,neutral,positive,compound,adjusted_compound,sentiment
Ugxeia75zk1W44m69Gt4AaABAg,,wrZKn6uWMgo,University of Allahabad,rankings,NIRF Ranking of Chandigarh University,@RajuKumar-y5l9n,UCmb__FfguVzU5BKPf-IyCqA,http://www.youtube.com/@RajuKumar-y5l9n,https://yt3.ggpht.com/ytc/AIdro_lkDhfR4IQoQOti0IosPsSAEqhLLgtyGqmMmRGIpKBIdhtOTK_iy1Z_GU0MKBc9sh8dlA=s48-c-k-c0x00ffffff-no-rj,One of the worst universities don't get admission to this university u will regret it later they are money minting machine in name of 75 attendence they will charge u 8500 per sub all the teacher of this university don't know the sub they teach,2024-04-29 13:33:07+00:00,2024-04-29T13:33:07Z,0,0,False,244,45,One of the worst universities don't get admission to this university u will regret it later they are money minting machine in name of 75 attendence they will charge u 8500 per sub all the teacher of this university don't know the sub they teach,One of the worst universities don't get admission to this university u will regret it later they are money minting machine in name of 75 attendence they will charge u 8500 per sub all the teacher of this university don't know the sub they teach,4.44,1,0,0,0,0,0,0,2024,4,29,Monday,13,-2.5,0,1,0,False,0.144,0.856,0.0,-0.7845,-1.0,Negative
UgzwtY2MTTxuqfmTIjd4AaABAg,,Q9wqcrQZLpI,Sikkim University,rankings,"Sikkim University Admission Process 🤔 || Everything you need to know || Fees, admission, date etc.",@aakanshapaul936,UCHCYqjI-GGvz6ERDa_-DoAw,http://www.youtube.com/@aakanshapaul936,https://yt3.ggpht.com/ytc/AIdro_k3Wp6r8fOkZBngglw1HZVScDZvPrtBahL2SkyAi88=s48-c-k-c0x00ffffff-no-rj,Migration certificate kab upload karna hai ?? Maine abhi tak migration apply nahi kiya q ki mera 1st list me selection nahi hua..2nd list me ho jayega shayad..2nd list release hone k bad hi migration k liye apply karungi...so plz bataye ki migration apply karne k kitne din bad migration certificate milta hai or kab upload krna padta hai university me ????,2023-08-28 15:29:01+00:00,2023-08-28T15:35:37Z,0,0,False,349,62,Migration certificate kab upload karna hai ? Maine abhi tak migration apply nahi kiya q ki mera 1st list me selection nahi hua.2nd list me ho jayega shayad.2nd list release hone k bad hi migration k liye apply karungi.so plz bataye ki migration apply karne k kitne din bad migration certificate milta hai or kab upload krna padta hai university me ?,Migration certificate kab upload karna hai ? Maine abhi tak migration apply nahi kiya q ki mera 1st list me selection nahi hua.2nd list me ho jayega shayad.2nd list release hone k bad hi migration k liye apply karungi.so plz bataye ki migration apply karne k kitne din bad migration certificate milta hai or kab upload krna padta hai university me ?,4.65,5,0,0,0,2,0,0,2023,8,28,Monday,15,-3.0,0,2,0,False,0.119,0.86,0.021,-0.7941,-1.0,Negative
UgxQ5RhKf_xiGdCp9AZ4AaABAg.ATwfe-94t9QAZHTeyeFK4E,UgxQ5RhKf_xiGdCp9AZ4AaABAg,qbFFkYp-yYM,Jamia Millia Islamia,rankings,"Jamia Millia Islamia MBA 2026🔥Fees, Cutoff, Placement &amp; Admission Process 😲Worth It?",@Pulkit-jm2tq,UC6xuDZu4ZVUg6U5TcuZ_cHQ,http://www.youtube.com/@Pulkit-jm2tq,https://yt3.ggpht.com/ytc/AIdro_nusKmZATTFepe_OlKa8JyO-6iYOa1X47MpI9Y2RzmxHnb3yNgJRjgNAhXoZlMjqL8eQA=s48-c-k-c0x00ffffff-no-rj,"Mat krna bhai na mba dang se hoga na ssc 
2 saal or mehnat kro nikal jayega ssc mba is scam nowadays",2026-07-15 11:32:12+00:00,2026-07-15T11:32:16Z,0,0,True,100,22,Mat krna bhai na mba dang se hoga na ssc  2 saal or mehnat kro nikal jayega ssc mba is scam nowadays,Mat krna bhai na mba dang se hoga na ssc  2 saal or mehnat kro nikal jayega ssc mba is scam nowadays,3.55,1,0,0,0,0,0,0,2026,7,15,Wednesday,11,-2.2,0,1,0,False,0.156,0.844,0.0,-0.5719,-1.0,Negative
UgwPlX6oTQDrOlgnEX94AaABAg,,zv2ppXmNCV0,Patna University,rankings,Patna University की कैंटीन में ऐसा क्या पकता दिखा जिसकी उम्मीद नहीं थी? Darbhanga House,@itexpert8782,UCBfbf-fIZjecTh3RW_kLFNg,http://www.youtube.com/@itexpert8782,https://yt3.ggpht.com/K3K-w8AUv0mcyPoJ2whyZRA4oeR5kU0qIxYZK8OFcXKnpis7h9meh_j1mewy9hXrxYXj5EbcHg=s48-c-k-c0x00ffffff-no-rj,Fake video...... Iska reason bhi pata hai mujhe ki kyon fake hai ye video.,2025-10-01 11:20:43+00:00,2025-10-01T11:20:43Z,0,0,False,69,14,Fake video. Iska reason bhi pata hai mujhe ki kyon fake hai ye video.,Fake video. Iska reason bhi pata hai mujhe ki kyon fake hai ye video.,4.0,2,0,0,0,0,0,0,2025,10,1,Wednesday,11,-4.0,0,2,0,False,0.341,0.659,0.0,-0.7351,-1.0,Negative
UgxZvKE_19AoteeemlF4AaABAg.ANc0SCa4F84ANeQic6GakN,UgxZvKE_19AoteeemlF4AaABAg,Qe-Cy7ge21g,Patna University,rankings,&#39;दो बार फीस ले रहे&#39; New Education Policy पर भड़क बोला Patna University का लड़का ! | News Pinch,@AshfiyaKhan-p3x,UCrkp1X-V33n9VFEqwgB9MhQ,http://www.youtube.com/@AshfiyaKhan-p3x,https://yt3.ggpht.com/ytc/AIdro_lImVEFshLCzwKPwsKil_wI44W3fLO5VgHisdM_-Jtm5ZMsPSMXFTRot9-tSU3zW38Ftw=s48-c-k-c0x00ffffff-no-rj,​@piyushkumarsinha27correct nd one of problem is that one holding power isn't educated such as our very own education minister who doesn't tweet anything about education related but when it's come to politics photo is there...main problem is both casteism nd corruption.. corruption is major problem bcoz when ppl youth will be educated then who will give votes in name of religion so they play this dirty politics when it's come to education,2025-09-29 12:31:32+00:00,2025-09-29T12:31:32Z,3,0,True,411,71,nd one of problem is that one holding power isn't educated such as our very own education minister who doesn't tweet anything about education related but when it's come to politics photo is there.main problem is both casteism nd corruption. corruption is major problem bcoz when ppl youth will be educated then who will give votes in name of religion so they play this dirty politics when it's come to education,nd one of problem is that one holding power isn't educated such as our very own education minister who doesn't tweet anything about education related but when it's come to politics photo is there.main problem is both casteism nd corruption. corruption is major problem bcoz when ppl youth will be educated then who will give votes in name of religion so they play this dirty politics when it's come to education,4.8,3,0,0,0,0,0,0,2025,9,29,Monday,12,-1.5,0,1,0,False,0.163,0.795,0.042,-0.8749,-1.0,Negative
UgzFpg8Vm84HooakpWZ4AaABAg.9tHD3olIS__9tnhAN7PrvB,UgzFpg8Vm84HooakpWZ4AaABAg,HfaCF7eWefw,Jadavpur University,rankings,Jadavpur University College Review Inshort,@Ayan_Panja3355,UCBawfIg0ee8eKnoDDbCqoBw,http://www.youtube.com/@Ayan_Panja3355,https://yt3.ggpht.com/ZYII0yWF_hOWfODV2FajdX-Chhil_rOSRwfhzXF-O_2mwVuFdXh9dpbmGI9Vo3O2HsCUAAKVR2g=s48-c-k-c0x00ffffff-no-rj,"​@NAZl-ONIST666ju is worst college ,donot run only for placements",2023-08-24 14:43:57+00:00,2024-04-18T02:59:37Z,22,0,True,47,8,"is worst college ,donot run only for placements","is worst college ,donot run only for placements",5.0,1,0,0,0,0,0,0,2023,8,24,Thursday,14,-2.5,0,1,0,False,0.369,0.631,0.0,-0.6249,-1.0,Negative
Ugz9PyBvWc0ai72uRfx4AaABAg,,WNBCJMZUmB0,Assam University,rankings,Vice Chancellor of Assam University speaks on Assam University&#39;s NIRF ranking 2025.,@lizaachy,UCTaNMl89usIGtGrsFRy1pLA,http://www.youtube.com/@lizaachy,https://yt3.ggpht.com/YCEggGw4RbzABO0cS7On0DmvY_DeSRrzbkMtnoB-o65oJpnO95Gidkb4yaFlJ_j47EJvZ_i3OUs=s48-c-k-c0x00ffffff-no-rj,Worst university,2026-06-08 15:19:14+00:00,2026-06-08T15:19:14Z,0,0,False,16,2,Worst university,Worst university,7.5,1,0,0,0,0,0,0,2026,6,8,Monday,15,-2.5,0,1,0,False,0.804,0.196,0.0,-0.6249,-1.0,Negative
UgzFpg8Vm84HooakpWZ4AaABAg.9tHD3olIS__9vHFqLyuk5Y,UgzFpg8Vm84HooakpWZ4AaABAg,HfaCF7eWefw,Jadavpur University,rankings,Jadavpur University College Review Inshort,@Ayan_Panja3355,UCBawfIg0ee8eKnoDDbCqoBw,http://www.youtube.com/@Ayan_Panja3355,https://yt3.ggpht.com/ZYII0yWF_hOWfODV2FajdX-Chhil_rOSRwfhzXF-O_2mwVuFdXh9dpbmGI9Vo3O2HsCUAAKVR2g=s48-c-k-c0x00ffffff-no-rj,"@s.s.a.d95 bhai now i am in iit kgp wbjee rank 143ja ebr bol , wora worst worst university is ju p0*n industry akta",2023-09-30 08:04:16+00:00,2024-06-12T20:50:31Z,4,0,True,115,23,"@s.s.a.d95 bhai now i am in iit kgp wbjee rank 143ja ebr bol , wora worst worst university is ju p0*n industry akta","@s.s.a.d95 bhai now i am in iit kgp wbjee rank 143ja ebr bol , wora worst worst university is ju p0*n industry akta",4.04,4,0,1,0,0,0,0,2023,9,30,Saturday,8,-5.0,0,2,0,False,0.301,0.699,0.0,-0.8481,-1.0,Negative
UgyZ8SXcUmSYFwcfl794AaABAg.AIIWydibe6ZAWQ2Mz1nNue,UgyZ8SXcUmSYFwcfl794AaABAg,oNkwmqGsJZk,VIT Vellore,rankings,VIT Vellore 2025 Category Wise Cutoff Rank #engineeringentranceexam #viteee2025 #vitvellore,@FilmyGuessHub,UCkGcLNj03NT093OsB7pjJ-g,http://www.youtube.com/@FilmyGuessHub,https://yt3.ggpht.com/8KSCkNZSdg2dEJIeb_xgulBtbI-CS3EHuPLH59Kx7-O4M8_v50rQwElsmw8xcjk2TDva163ieeU=s48-c-k-c0x00ffffff-no-rj,​@kavyondhiamene suna h paper scam he and mene ek ka comment dekha tha he or she got cat 3 at 38000 rank and uska branch cse tha,2026-05-05 05:52:40+00:00,2026-05-05T05:52:40Z,1,0,True,111,26,suna h paper scam he and mene ek ka comment dekha tha he or she got cat 3 at 38000 rank and uska branch cse tha,suna h paper scam he and mene ek ka comment dekha tha he or she got cat 3 at 38000 rank and uska branch cse tha,3.31,1,0,0,0,0,0,0,2026,5,5,Tuesday,5,-2.2,0,1,0,False,0.139,0.861,0.0,-0.5719,-1.0,Negative
UgyZ8SXcUmSYFwcfl794AaABAg.AIIWydibe6ZAWQdyrK9etI,UgyZ8SXcUmSYFwcfl794AaABAg,oNkwmqGsJZk,VIT Vellore,rankings,VIT Vellore 2025 Category Wise Cutoff Rank #engineeringentranceexam #viteee2025 #vitvellore,@kavyondhia,UCD_-rGWJAfEFn0qrwsSqjhA,http://www.youtube.com/@kavyondhia,https://yt3.ggpht.com/ytc/AIdro_nAY7ZN_aSgYXRVKbIX2xYKQMe_dGO_5BgnBYjg6yUJsso=s48-c-k-c0x00ffffff-no-rj,"​@FilmyGuessHub Don't know about that just don't go to that college
I am happy I didn't choose that college it is the worst
It may be good if you are willing to go at a bad rank and after giving money but it sucks when you go when you get low rank",2026-05-05 11:30:01+00:00,2026-05-05T11:30:01Z,1,0,True,231,51,Don't know about that just don't go to that college I am happy I didn't choose that college it is the worst It may be good if you are willing to go at a bad rank and after giving money but it sucks when you go when you get low rank,Don't know about that just don't go to that college I am happy I didn't choose that college it is the worst It may be good if you are willing to go at a bad rank and after giving money but it sucks when you go when you get low rank,3.55,1,0,0,0,0,0,2,2026,5,5,Tuesday,11,-3.0,1,2,0,False,0.185,0.711,0.104,-0.6908,-1.0,Negative
UgwHLHXU_QNdrz1QSr54AaABAg,,XEXJNWmvSTE,Jawaharlal Nehru University,rankings,JNU ने आलोचकों को जवाब देते हुए फिर से IIT के बीच खुद को कैसे साबित कर दिया? | NIRF Rankings 2023,@runnerboys9277,UCRycJZC8NprYk63RvdhufuA,http://www.youtube.com/@runnerboys9277,https://yt3.ggpht.com/ytc/AIdro_ktgf3psRkAgKqgtBrHqhFCpTwn8CtlBGMPzkRqQ28gVAm_OArHXAgXv_ztPUnBWg1sIA=s48-c-k-c0x00ffffff-no-rj,"NIRF SE FRAUD RANKING SYSTEM NHI DEKHA HAI AJTAK {only for engg. colleges }

in saalo ne vit , lpu >>>>> iiith , nsut , dtu nit surathkal 🤡🤡 ye rankings di hai . 
la paisa de ranking system hai . Dont ever believe on them for engg colleges ranking . ❌❌❌❌❌❌",2023-06-06 05:09:50+00:00,2023-06-06T05:09:50Z,1,0,False,256,52,"NIRF SE FRAUD RANKING SYSTEM NHI DEKHA HAI AJTAK {only for engg. colleges }  in saalo ne vit , lpu >>>>> iiith , nsut , dtu nit surathkal 🤡🤡 ye rankings di hai .  la paisa de ranking system hai . Dont ever believe on them for engg colleges ranking . ❌❌❌❌❌❌","NIRF SE FRAUD RANKING SYSTEM NHI DEKHA HAI AJTAK {only for engg. colleges }  in saalo ne vit , lpu >>>>> iiith , nsut , dtu nit surathkal 🤡🤡 ye rankings di hai .  la paisa de ranking system hai . Dont ever believe on them for engg colleges ranking . ❌❌❌❌❌❌",3.9,5,0,0,0,0,1,9,2023,6,6,Tuesday,5,-2.0,0,1,0,False,0.093,0.907,0.0,-0.6739,-1.0,Negative
UgwhUt8S_EW5Wx3dpsV4AaABAg,,JU4kXAUEkPU,Banaras Hindu University,rankings,Banaras Hindu University | Student&#39;s Review | কেন বাংলাদেশী  স্টুডেন্টদের কাছে এটি  প্রথম Choice !!!,@tinakarmokar5064,UC3ROm-J6_DDcsbgLk5VBzpg,http://www.youtube.com/@tinakarmokar5064,https://yt3.ggpht.com/ytc/AIdro_n_A6xafiYojALEbvmCgjcLjkJW-FIrE904Dm3KvNA=s48-c-k-c0x00ffffff-no-rj,"Jogajog korechi.
Without kono admission form,, exam 
Era ek lakh taka cay
Purai scam 😅😅😅😅",2025-01-30 13:59:19+00:00,2025-01-30T13:59:19Z,2,0,False,89,15,"Jogajog korechi. Without kono admission form,, exam  Era ek lakh taka cay Purai scam 😅😅😅😅","Jogajog korechi. Without kono admission form,, exam  Era ek lakh taka cay Purai scam 😅😅😅😅",4.93,2,0,0,0,0,1,0,2025,1,30,Thursday,13,-2.2,0,1,0,False,0.209,0.791,0.0,-0.5719,-1.0,Negative
Ugyb1JBaqZqohifc96l4AaABAg.9qbFslDzOyd9qbLXfZvh00,Ugyb1JBaqZqohifc96l4AaABAg,XEXJNWmvSTE,Jawaharlal Nehru University,rankings,JNU ने आलोचकों को जवाब देते हुए फिर से IIT के बीच खुद को कैसे साबित कर दिया? | NIRF Rankings 2023,@समर_शेष_है,UCMpW_hmFFK48xmjPZTps4Ww,http://www.youtube.com/@%E0%A4%B8%E0%A4%AE%E0%A4%B0_%E0%A4%B6%E0%A5%87%E0%A4%B7_%E0%A4%B9%E0%A5%88,https://yt3.ggpht.com/zT6ulRst38EBIyEJrzyoveA5GgrKt8OqZXDmf24akuY7dzjesiajsUiZtRqJvxvqj9uYWabEUQ=s48-c-k-c0x00ffffff-no-rj,"If anyone who believes in Ambedkar jee, please read his book ""pakistan or Partision of India"". Ambedkar jee attacked all those basic values of islam which is very problematic for humanity.... Most of the people of India only knows that the Ambedkar attacked only on hindus bad customs but it is half truth... He also attacked on Islamic fundamental value and said that these values of islam are responsible for the Partision of India... Ie Millat concept of Islam is only for muslim not for others bcs others are the kaffir for them and with whom they have to go for war so think that if any religion teaches us for war with other religion then what type of religion it is ? And other concept of Islam also attacked by ambedkar jee go and read his book ""pakistan or the Partision of India"" you will get everything there.",2023-06-06 06:01:05+00:00,2023-06-06T06:01:05Z,2,0,True,813,149,"If anyone who believes in Ambedkar jee, please read his book ""pakistan or Partision of India"". Ambedkar jee attacked all those basic values of islam which is very problematic for humanity. Most of the people of India only knows that the Ambedkar attacked only on hindus bad customs but it is half truth. He also attacked on Islamic fundamental value and said that these values of islam are responsible for the Partision of India. Ie Millat concept of Islam is only for muslim not for others bcs others are the kaffir for them and with whom they have to go for war so think that if any religion teaches us for war with other religion then what type of religion it is ? And other concept of Islam also attacked by ambedkar jee go and read his book ""pakistan or the Partision of India"" you will get everything there.","If anyone who believes in Ambedkar jee, please read his book ""pakistan or Partision of India"". Ambedkar jee attacked all those basic values of islam which is very problematic for humanity. Most of the people of India only knows that the Ambedkar attacked only on hindus bad customs but it is half truth. He also attacked on Islamic fundamental value and said that these values of islam are responsible for the Partision of India. Ie Millat concept of Islam is only for muslim not for others bcs others are the kaffir for them and with whom they have to go for war so think that if any religion teaches us for war with other religion then what type of religion it is ? And other concept of Islam also attacked by ambedkar jee go and read his book ""pakistan or the Partision of India"" you will get everything there.",4.46,6,0,0,0,1,0,0,2023,6,6,Tuesday,6,-1.5,0,1,0,False,0.153,0.757,0.091,-0.9185,-1.0,Negative
Ugx4Z0dCJfVzyRGmi154AaABAg,,pgp0XrGAr2A,Kerala University,rankings,ഇത് കേരള സ്‌റ്റോറി; രാജ്യത്തെ മികച്ച കോളേജുകളുടെ പട്ടികയില്‍ കേരളത്തിന് നേട്ടം | NIRF Ranking |,@p_vipinlal,UCxsLT47gesul9ua8LyoDupA,http://www.youtube.com/@p_vipinlal,https://yt3.ggpht.com/MIqFZ3OTlk9jrEI-MtVDx76jT5PyRg9AWBW8wNGnGIqIWpbHjBHqaGPFHquS9cPTf8AEVLrv5g=s48-c-k-c0x00ffffff-no-rj,Koppanu. Kerala University worst university.,2023-06-09 11:03:57+00:00,2023-06-09T11:04:39Z,0,0,False,44,5,Koppanu. Kerala University worst university.,Koppanu. Kerala University worst university.,8.0,2,0,0,0,0,0,0,2023,6,9,Friday,11,-2.5,0,1,0,False,0.506,0.494,0.0,-0.6249,-1.0,Negative
Ugw6yVpDdcOLv60hC_F4AaABAg.9xlpNZm-TM4AMg8UV1MVc6,Ugw6yVpDdcOLv60hC_F4AaABAg,t_iGGanfDXw,University of Hyderabad,rankings,Do Not Trust NIRF Ranking !!  #engineering #iit #colleges #ritikmeghwani,@Doggy_693,UCtPYIEiKmdmoIMJiNxahCKw,http://www.youtube.com/@Doggy_693,https://yt3.ggpht.com/RthFhIJ0tG4zeagUusC_03-Q48oJbX3dSDSTtFwSf4uRhQ6kzsYULTgrw0pvCj12SNsyt2M1kw=s48-c-k-c0x00ffffff-no-rj,"For IT sector only 

If I want chemical then worst",2025-09-05 07:59:16+00:00,2025-09-05T07:59:16Z,0,0,True,50,10,For IT sector only   If I want chemical then worst,For IT sector only   If I want chemical then worst,3.9,1,0,0,0,0,0,2,2025,9,5,Friday,7,-2.5,0,1,0,False,0.331,0.565,0.105,-0.5859,-1.0,Negative
