university_name,1,2,3,4,5,6,7,8,9,10
Aligarh Muslim University,2,2,11,7,3,18,6,9,0,10
Andhra University,7,2,29,8,6,15,7,18,7,10
Assam University,10,6,5,8,4,10,7,14,11,9
BML Munjal University,18,8,46,36,22,194,15,33,16,84
Banaras Hindu University,10,7,70,25,13,96,10,37,5,63
Central University of Karnataka,6,3,31,17,4,35,5,9,1,28
Central University of South Bihar,82,77,179,214,74,424,142,168,91,142
College of Engineering Pune,1,2,4,2,2,4,2,2,0,5
Delhi University,64,54,353,185,65,429,74,125,15,228
Dibrugarh University,6,2,7,16,8,52,5,4,0,12
Dr APJ Abdul Kalam Technical University,10,9,133,25,24,85,8,33,7,72
Dr Babasaheb Ambedkar Technological University,0,1,0,0,0,0,0,1,1,0
Gujarat University,1,1,2,2,1,9,0,4,7,0
Guru Ghasidas Vishwavidyalaya,1,11,55,17,1,25,5,13,3,45
Harcourt Butler Technical University,0,0,0,0,0,0,0,0,0,2
Indian Institute of Management,1,0,6,4,1,5,4,5,4,5
Institute of Chemical Technology Mumbai,4,0,3,4,0,21,1,8,0,2
Jadavpur University,46,34,214,142,50,240,89,127,58,161
Jamia Millia Islamia,26,51,128,91,39,143,39,71,8,128
Jawaharlal Nehru University,4,3,2,4,2,5,2,10,3,15
Jiwaji University Gwalior,10,9,68,47,11,97,19,21,15,55
Kerala University,15,36,344,74,27,145,21,53,6,158
Lucknow University,5,6,12,17,7,15,4,39,23,10
Madan Mohan Malaviya University of Technology,0,0,0,1,0,4,1,0,0,1
Manipur University,19,33,31,42,19,62,16,40,15,43
Mizoram University,1,3,9,19,5,29,18,17,3,16
Mysore University,4,4,5,12,13,22,6,44,21,10
North Eastern Hill University,4,4,34,40,8,144,18,11,4,58
Oriental Institute of Science and Technology Bhopal,0,2,0,0,0,0,0,0,0,1
Osmania University,6,7,51,26,9,45,10,14,10,28
Patna University,169,168,598,576,192,1106,225,553,328,549
Pondicherry University,24,17,68,42,22,43,21,50,55,45
Rajasthan Technical University,0,1,13,4,3,8,1,6,2,27
Ranchi University,2,1,8,10,0,5,0,6,2,6
SRM Institute of Science and Technology,10,16,32,19,7,32,8,18,6,35
Savitribai Phule Pune University,16,6,117,42,15,101,13,38,11,53
Shri Shankaracharya Technical Campus Bhilai,7,5,14,12,8,21,16,43,18,5
Sikkim University,14,15,55,46,34,104,15,55,25,37
Tezpur University,8,3,14,16,10,14,6,36,14,27
Tripura University,0,0,0,0,0,5,0,0,0,0
University of Allahabad,9,2,9,13,2,25,6,17,9,19
University of Calcutta,5,3,6,14,8,7,6,21,16,3
University of Hyderabad,2,0,7,3,0,6,1,11,13,1
University of Madras,2,1,19,18,2,59,5,15,5,15
University of Mumbai,2,0,6,2,2,6,2,11,1,3
University of Rajasthan,12,4,30,21,11,31,6,22,8,14
VIT Bhopal University,0,0,1,0,0,1,0,1,0,3
VIT Vellore,14,8,23,21,10,89,9,23,17,23
Veermata Jijabai Technological Institute,2,0,0,2,0,6,1,4,2,2
