hashtag,sentiment,university_name,published_at,likes,reply_count
#ujjwal,Negative,Delhi University,2026-07-04 09:29:00+00:00,1,3
#hatebeingabengali,Negative,Jadavpur University,2023-09-28 22:01:29+00:00,0,0
#boycottju,Negative,Jadavpur University,2023-08-19 05:36:36+00:00,2,1
#jadavpur,Neutral,Jadavpur University,2023-07-31 04:10:48+00:00,1,0
#kolkata,Neutral,Jadavpur University,2023-07-31 04:10:48+00:00,1,0
#chandigarhuniversity,Positive,University of Allahabad,2023-06-06 06:58:10+00:00,0,0
#chandigarhuniversity,Positive,University of Allahabad,2023-06-06 06:53:21+00:00,0,0
#nirf2023,Positive,University of Allahabad,2023-06-06 06:53:21+00:00,0,0
#nirf2023,Positive,University of Allahabad,2023-06-06 06:48:34+00:00,0,0
#chandigarhuniversity,Positive,University of Allahabad,2023-06-06 06:48:34+00:00,0,0
#chandigarhuniversity,Positive,University of Allahabad,2023-06-06 06:32:05+00:00,0,0
#nirf2023,Positive,University of Allahabad,2023-06-06 06:32:05+00:00,0,0
#country,Positive,VIT Vellore,2023-08-17 11:39:15+00:00,1,1
#aspirants,Positive,VIT Vellore,2023-08-17 11:39:15+00:00,1,1
#abroad,Positive,VIT Vellore,2023-08-17 11:39:15+00:00,1,1
#nirf,Negative,VIT Vellore,2023-08-16 07:20:56+00:00,1,1
#rankingmanipulation,Negative,VIT Vellore,2023-08-16 07:20:56+00:00,1,1
#neglectofteachingquality,Negative,VIT Vellore,2023-08-16 07:20:56+00:00,1,1
#pressureonstudentsparentsinstitutions,Negative,VIT Vellore,2023-08-16 07:20:56+00:00,1,1
#nirf,Negative,VIT Vellore,2023-08-16 07:12:53+00:00,1,1
#nirfranking,Positive,VIT Vellore,2023-08-16 07:04:30+00:00,1,1
#iitmadras,Positive,VIT Vellore,2023-08-16 05:42:21+00:00,1,1
#nirfranking,Negative,VIT Vellore,2023-08-16 02:11:15+00:00,1,1
#nirf,Neutral,VIT Vellore,2023-08-15 15:56:11+00:00,2,1
#nirfranking2023,Positive,VIT Vellore,2023-08-16 04:00:13+00:00,0,0
#corruption,Neutral,VIT Vellore,2023-08-15 12:47:10+00:00,5,1
#mba,Positive,Delhi University,2024-09-11 06:11:28+00:00,1,1
#nirf,Neutral,Delhi University,2024-09-09 17:27:52+00:00,1,1
#nirf,Positive,Delhi University,2024-09-11 13:59:45+00:00,0,0
#nirf,Positive,Delhi University,2024-09-04 16:34:36+00:00,0,0
#nirf,Positive,Delhi University,2024-09-04 14:14:59+00:00,1,1
#2c3e50,Positive,Shri Shankaracharya Technical Campus Bhilai,2026-04-21 06:54:16+00:00,0,1
#e74c3c,Positive,Shri Shankaracharya Technical Campus Bhilai,2026-04-21 06:54:16+00:00,0,1
#jai,Neutral,Patna University,2025-09-28 12:40:53+00:00,0,0
#prashant,Neutral,Patna University,2025-09-28 12:40:53+00:00,0,0
#justiceforsonam,Neutral,Patna University,2025-09-28 10:02:52+00:00,0,0
#newspinch,Neutral,Patna University,2025-09-28 07:11:59+00:00,3,0
#gyani,Positive,Patna University,2025-09-28 05:14:05+00:00,0,0
#bihar,Positive,Patna University,2025-09-28 04:50:57+00:00,0,0
#nitishkumar,Positive,Patna University,2025-09-28 04:50:57+00:00,0,0
#newspinch,Neutral,Patna University,2025-09-28 04:41:01+00:00,12,0
#bihar,Positive,Patna University,2025-09-27 20:10:30+00:00,0,0
