hashtag,Frequency,Avg_Likes,Avg_Replies,Popularity_Score
#endcorruption,1,26.0,0.0,26.0
#newspinch,3,5.0,0.0,15.0
#suleman,1,12.0,0.0,12.0
#professor,2,4.0,0.0,8.0
#bssc,1,8.0,0.0,8.0
#nirf,7,0.8571428571428571,0.7142857142857143,6.0
#alig,1,5.0,1.0,5.0
#corruption,2,2.5,0.5,5.0
#nirfranking,4,1.0,1.0,4.0
#iitkharagpur,5,0.6,0.4,3.0
#boycottju,1,2.0,1.0,2.0
#google,1,2.0,1.0,2.0
#jadavpur,4,0.5,0.25,2.0
#sundar,1,2.0,1.0,2.0
#science_college,1,2.0,0.0,2.0
#ceo,1,2.0,1.0,2.0
#ibm,1,2.0,1.0,2.0
#bestuniversity,1,2.0,1.0,2.0
#nirfrankings,2,1.0,1.0,2.0
#alphabet,1,2.0,1.0,2.0
#arvindkrishna,1,2.0,1.0,2.0
#learninginspiration,1,1.0,1.0,1.0
#iit,2,0.5,0.5,1.0
#sir,1,1.0,1.0,1.0
#parents,1,1.0,1.0,1.0
#iitmadras,1,1.0,1.0,1.0
#institute,1,1.0,1.0,1.0
#neglectofteachingquality,1,1.0,1.0,1.0
#kolkata,1,1.0,0.0,1.0
#jadavpuruniversity,2,0.5,0.5,1.0
#minister,1,1.0,0.0,1.0
#pressureonstudentsparentsinstitutions,1,1.0,1.0,1.0
#rankingmanipulation,1,1.0,1.0,1.0
#aarifsir,1,1.0,0.0,1.0
#rank,1,1.0,0.0,1.0
#media_entry,1,1.0,0.0,1.0
#mba,1,1.0,1.0,1.0
#iim,1,1.0,1.0,1.0
#jeeadvancedexams,1,1.0,0.0,1.0
#students,1,1.0,1.0,1.0
#boardstudents,1,1.0,1.0,1.0
#boycott_bjp,1,1.0,0.0,1.0
#ujjwal,1,1.0,3.0,1.0
#abroad,1,1.0,1.0,1.0
#acharya,1,1.0,0.0,1.0
#aspirants,1,1.0,1.0,1.0
#aspiringexcellence,1,1.0,1.0,1.0
#bestbtech,1,1.0,0.0,1.0
#topinstitutes,1,1.0,1.0,1.0
#bihargovernor,1,1.0,0.0,1.0
#opretion2030,1,1.0,0.0,1.0
#thenewspinch,1,1.0,0.0,1.0
#paidrankings,2,0.5,0.5,1.0
#educationalgoal,1,1.0,1.0,1.0
#engineering,1,1.0,1.0,1.0
#contents,1,1.0,1.0,1.0
#educationalleaders,1,1.0,1.0,1.0
#country,1,1.0,1.0,1.0
#cm,2,0.5,0.0,1.0
#education,2,0.5,0.0,1.0
#support_sonam_wanchook,1,0.0,0.0,0.0
#patna,1,0.0,0.0,0.0
#patna_university,1,0.0,0.0,0.0
#shameshame,1,0.0,0.0,0.0
#patnauniversity,1,0.0,0.0,0.0
#sundarpichai,1,0.0,0.0,0.0
#pk,1,0.0,0.0,0.0
#prashant,1,0.0,0.0,0.0
#tilkamanjhi,1,0.0,0.0,0.0
#revenue,1,0.0,0.0,0.0
#thepinchnews,1,0.0,0.0,0.0
#proctor,1,0.0,0.0,0.0
#staywithbihar,1,0.0,0.0,0.0
#2c3e50,1,0.0,1.0,0.0
#now,1,0.0,0.0,0.0
#nitishkumar,2,0.0,0.0,0.0
#abhinavpandey,1,0.0,0.0,0.0
#bihar,4,0.0,0.0,0.0
#biharadanijaminnews,1,0.0,0.0,0.0
#bjp,2,0.0,0.0,0.0
#boycott_,1,0.0,0.0,0.0
#chandigarhuniversity,4,0.0,0.0,0.0
#dallantop,1,0.0,0.0,0.0
#e74c3c,1,0.0,1.0,0.0
#fakerankings,1,0.0,0.0,0.0
#gyani,1,0.0,0.0,0.0
#hatebeingabengali,1,0.0,0.0,0.0
#iitjee,1,0.0,0.0,0.0
#india,2,0.0,0.0,0.0
#jai,1,0.0,0.0,0.0
#jdu,1,0.0,0.0,0.0
#jeeadvanced,1,0.0,0.0,0.0
#jnu,1,0.0,0.0,0.0
#justiceforsonam,1,0.0,0.0,0.0
#lalit_narayan_mithila_university,1,0.0,0.0,0.0
#meradeshmahan,1,0.0,0.0,0.0
#modi,1,0.0,0.0,0.0
#narendramodi,1,0.0,0.0,0.0
#nirf2023,3,0.0,0.0,0.0
#nirfranking2022,1,0.0,0.0,0.0
#nirfranking2023,1,0.0,0.0,0.0
#vc,2,0.0,0.0,0.0
