NGram,Frequency
preference list,53
get admission,50
political science,50
curricular activity,49
hey whatsapp,48
merit list,45
send hey,44
come notice,43
notice try,43
big fan,41
news pinch,39
entrance exam,38
punjab big,36
point aapko,33
jaana jaata,32
art commerce,31
commerce science,30
general category,30
career goal,30
obc ncl,29
try requested,29
informed request,29
request come,29
whatsapp free,28
science field,28
computer science,27
free guidance,25
good information,25
life science,24
form fill,24
