Hashtag,Frequency,University
#bihar,4,Patna University
#newspinch,3,Patna University
#cm,2,Patna University
#nitishkumar,2,Patna University
#professor,2,Patna University
#education,2,Patna University
#vc,2,Patna University
#bjp,2,Patna University
#support_sonam_wanchook,1,Patna University
#pk,1,Patna University
#tilkamanjhi,1,Patna University
#now,1,Patna University
#opretion2030,1,Patna University
#patna,1,Patna University
#patna_university,1,Patna University
#iitkharagpur,5,Pondicherry University
#paidrankings,2,Pondicherry University
#nirfrankings,2,Pondicherry University
#iit,2,Pondicherry University
#nirfranking,2,Pondicherry University
#alphabet,1,Pondicherry University
#jeeadvancedexams,1,Pondicherry University
#sundarpichai,1,Pondicherry University
#sundar,1,Pondicherry University
#students,1,Pondicherry University
#rank,1,Pondicherry University
#parents,1,Pondicherry University
#nirfranking2022,1,Pondicherry University
#learninginspiration,1,Pondicherry University
#jnu,1,Pondicherry University
#nirf,3,VIT Vellore
#nirfranking,2,VIT Vellore
#abroad,1,VIT Vellore
#aspirants,1,VIT Vellore
#corruption,1,VIT Vellore
#country,1,VIT Vellore
#iitmadras,1,VIT Vellore
#neglectofteachingquality,1,VIT Vellore
#nirfranking2023,1,VIT Vellore
#pressureonstudentsparentsinstitutions,1,VIT Vellore
#rankingmanipulation,1,VIT Vellore
#jadavpur,4,Jadavpur University
#jadavpuruniversity,2,Jadavpur University
#bestbtech,1,Jadavpur University
#boycottju,1,Jadavpur University
#contents,1,Jadavpur University
#hatebeingabengali,1,Jadavpur University
#kolkata,1,Jadavpur University
#sir,1,Jadavpur University
#chandigarhuniversity,4,University of Allahabad
#nirf2023,3,University of Allahabad
